geo,year,adolescent_birth_rate,age_group,datasource
zaf,2010,1.2,10_14,crvs10_17
zaf,2010,65.0,15_19,crvs10_17
zaf,2011,1.3,10_14,crvs10_17
zaf,2011,66.2,15_19,crvs10_17
zaf,2012,1.4,10_14,crvs10_17
zaf,2012,65.1,15_19,crvs10_17
zaf,2013,1.6,10_14,crvs10_17
zaf,2013,73.9,15_19,crvs10_17
zaf,2014,1.4,10_14,crvs10_17
zaf,2014,71.6,15_19,crvs10_17
zaf,2015,1.4,10_14,crvs10_17
zaf,2015,64.7,15_19,crvs10_17
zaf,2016,0.9,10_14,crvs10_17
zaf,2016,55.4,15_19,crvs10_17
zaf,2017,0.6,10_14,crvs10_17
zaf,2017,46.2,15_19,crvs10_17
