geo,year,wto,average_tariffs_faced_countires,datasource
zaf,2007,w_dev,5.41,wits7
zaf,2007,l_dev,9.25,wits7
zaf,2008,w_dev,4.61,wits7
zaf,2008,l_dev,19.93,wits7
zaf,2009,w_dev,4.45,wits7
zaf,2009,l_dev,9.18,wits7
zaf,2010,w_dev,5.09,wits7
zaf,2010,l_dev,9.19,wits7
zaf,2011,w_dev,5.61,wits7
zaf,2011,l_dev,8.45,wits7
zaf,2012,w_dev,5.23,wits7
zaf,2012,l_dev,8.86,wits7
zaf,2013,w_dev,5.27,wits7
zaf,2013,l_dev,9.03,wits7
zaf,2014,w_dev,4.28,wits7
zaf,2014,l_dev,8.56,wits7
zaf,2015,w_dev,4.81,wits7
zaf,2015,l_dev,9.75,wits7
zaf,2016,w_dev,4.31,wits7
zaf,2016,l_dev,8.78,wits7
zaf,2017,w_dev,4.07,wits7
zaf,2017,l_dev,8.77,wits7
