geo,year,dmc_consumption,dmc_weight,domestic_material_consumption,datasource
zaf,2007,dmc_cons,m_tonnes,13.87,un_irp
zaf,2007,dmc_gdp,m_tonnes,689.05,un_irp
zaf,2008,dmc_cons,m_tonnes,14.09,un_irp
zaf,2008,dmc_gdp,m_tonnes,709.45,un_irp
zaf,2009,dmc_cons,m_tonnes,12.6,un_irp
zaf,2009,dmc_gdp,m_tonnes,642.72,un_irp
zaf,2010,dmc_cons,m_tonnes,12.36,un_irp
zaf,2010,dmc_gdp,m_tonnes,637.81,un_irp
zaf,2011,dmc_cons,m_tonnes,11.85,un_irp
zaf,2011,dmc_gdp,m_tonnes,619.15,un_irp
zaf,2012,dmc_cons,m_tonnes,11.85,un_irp
zaf,2012,dmc_gdp,m_tonnes,626.13,un_irp
zaf,2013,dmc_cons,m_tonnes,11.88,un_irp
zaf,2013,dmc_gdp,m_tonnes,634.79,un_irp
zaf,2014,dmc_cons,m_tonnes,12.12,un_irp
zaf,2014,dmc_gdp,m_tonnes,654.12,un_irp
zaf,2015,dmc_cons,m_tonnes,11.69,un_irp
zaf,2015,dmc_gdp,m_tonnes,637.07,un_irp
zaf,2016,dmc_gdp,m_tonnes,638.44,un_irp
zaf,2017,dmc_gdp,m_tonnes,640,un_irp
