geo,year,migrant_status,frequency_rate_fatal_and_not_fatal_occupational,datasource
zaf,2014,sa,558,umehluko2016
zaf,2014,imm,28,umehluko2016
zaf,2014,unsp,116,umehluko2016
zaf,2015,sa,595,umehluko2016
zaf,2015,imm,25,umehluko2016
zaf,2015,unsp,90,umehluko2016
zaf,2016,sa,458,umehluko2016
zaf,2016,imm,18,umehluko2016
zaf,2016,unsp,134,umehluko2016
zaf,2017,sa,411,umehluko2016
zaf,2017,imm,6,umehluko2016
zaf,2017,unsp,89,umehluko2016
zaf,2018,sa,313,umehluko2016
zaf,2018,imm,6,umehluko2016
zaf,2018,unsp,29,umehluko2016
