geo,year,incidence_rape_attention_of_police,datasource
wc,2009,95.3,crimestats2018
wc,2010,111.9,crimestats2018
wc,2011,110.1,crimestats2018
wc,2012,102.7,crimestats2018
wc,2013,99.5,crimestats2018
wc,2014,87.3,crimestats2018
wc,2015,80.6,crimestats2018
wc,2016,76.5,crimestats2018
wc,2017,74.5,crimestats2018
wc,2018,72.5,crimestats2018
ec,2009,102.0,crimestats2018
ec,2010,105.8,crimestats2018
ec,2011,112.3,crimestats2018
ec,2012,112.8,crimestats2018
ec,2013,118.9,crimestats2018
ec,2014,126.8,crimestats2018
ec,2015,122.4,crimestats2018
ec,2016,114.7,crimestats2018
ec,2017,105.3,crimestats2018
ec,2018,104.9,crimestats2018
nc,2009,115.4,crimestats2018
nc,2010,111.2,crimestats2018
nc,2011,116.9,crimestats2018
nc,2012,106.7,crimestats2018
nc,2013,115.5,crimestats2018
nc,2014,109.3,crimestats2018
nc,2015,100.7,crimestats2018
nc,2016,108.4,crimestats2018
nc,2017,95.0,crimestats2018
nc,2018,90.3,crimestats2018
fs,2009,118.7,crimestats2018
fs,2010,121.2,crimestats2018
fs,2011,129.0,crimestats2018
fs,2012,131.6,crimestats2018
fs,2013,145.3,crimestats2018
fs,2014,130.2,crimestats2018
fs,2015,117.2,crimestats2018
fs,2016,108.2,crimestats2018
fs,2017,94.8,crimestats2018
fs,2018,89.6,crimestats2018
kzn,2009,87.3,crimestats2018
kzn,2010,90.6,crimestats2018
kzn,2011,87.0,crimestats2018
kzn,2012,84.7,crimestats2018
kzn,2013,84.4,crimestats2018
kzn,2014,75.4,crimestats2018
kzn,2015,69.3,crimestats2018
kzn,2016,67.4,crimestats2018
kzn,2017,64.1,crimestats2018
kzn,2018,65.2,crimestats2018
nw,2009,113.1,crimestats2018
nw,2010,103.8,crimestats2018
nw,2011,102.8,crimestats2018
nw,2012,112.2,crimestats2018
nw,2013,121.7,crimestats2018
nw,2014,105.8,crimestats2018
nw,2015,102.5,crimestats2018
nw,2016,91.8,crimestats2018
nw,2017,95.0,crimestats2018
nw,2018,89.8,crimestats2018
gp,2009,92.1,crimestats2018
gp,2010,89.4,crimestats2018
gp,2011,83.0,crimestats2018
gp,2012,72.9,crimestats2018
gp,2013,69.0,crimestats2018
gp,2014,62.9,crimestats2018
gp,2015,59.6,crimestats2018
gp,2016,55.8,crimestats2018
gp,2017,55.0,crimestats2018
gp,2018,56.1,crimestats2018
mp,2009,97.7,crimestats2018
mp,2010,93.0,crimestats2018
mp,2011,89.0,crimestats2018
mp,2012,81.2,crimestats2018
mp,2013,85.1,crimestats2018
mp,2014,78.1,crimestats2018
mp,2015,70.8,crimestats2018
mp,2016,66.0,crimestats2018
mp,2017,61.7,crimestats2018
mp,2018,60.8,crimestats2018
lm,2009,67.5,crimestats2018
lm,2010,72.4,crimestats2018
lm,2011,71.7,crimestats2018
lm,2012,74.7,crimestats2018
lm,2013,75.2,crimestats2018
lm,2014,68.2,crimestats2018
lm,2015,66.7,crimestats2018
lm,2016,66.0,crimestats2018
lm,2017,58.0,crimestats2018
lm,2018,56.9,crimestats2018
zaf,2009,94.0,crimestats2018
zaf,2010,95.9,crimestats2018
zaf,2011,94.4,crimestats2018
zaf,2012,90.9,crimestats2018
zaf,2013,92.2,crimestats2018
zaf,2014,85.1,crimestats2018
zaf,2015,79.8,crimestats2018
zaf,2016,75.5,crimestats2018
zaf,2017,71.3,crimestats2018
zaf,2018,70.5,crimestats2018
