geo,year,incidence_sexual_assault_attention_of_police,datasource
wc,2009,30.6,crimestats2018
wc,2010,35.9,crimestats2018
wc,2011,32.8,crimestats2018
wc,2012,34.2,crimestats2018
wc,2013,29.4,crimestats2018
wc,2014,28.3,crimestats2018
wc,2015,26.7,crimestats2018
wc,2016,25.1,crimestats2018
wc,2017,26.1,crimestats2018
wc,2018,26.1,crimestats2018
ec,2009,9.5,crimestats2018
ec,2010,8.9,crimestats2018
ec,2011,10.0,crimestats2018
ec,2012,10.5,crimestats2018
ec,2013,11.4,crimestats2018
ec,2014,10.7,crimestats2018
ec,2015,9.8,crimestats2018
ec,2016,11.5,crimestats2018
ec,2017,11.6,crimestats2018
ec,2018,12.4,crimestats2018
nc,2009,25.3,crimestats2018
nc,2010,26.8,crimestats2018
nc,2011,26.3,crimestats2018
nc,2012,23.5,crimestats2018
nc,2013,20.9,crimestats2018
nc,2014,21.5,crimestats2018
nc,2015,19.4,crimestats2018
nc,2016,20.2,crimestats2018
nc,2017,19.5,crimestats2018
nc,2018,20.1,crimestats2018
fs,2009,18.6,crimestats2018
fs,2010,18.4,crimestats2018
fs,2011,22.5,crimestats2018
fs,2012,23.6,crimestats2018
fs,2013,21.2,crimestats2018
fs,2014,19.8,crimestats2018
fs,2015,15.7,crimestats2018
fs,2016,17.1,crimestats2018
fs,2017,16.6,crimestats2018
fs,2018,15.1,crimestats2018
kzn,2009,12.5,crimestats2018
kzn,2010,13.7,crimestats2018
kzn,2011,14.1,crimestats2018
kzn,2012,14.0,crimestats2018
kzn,2013,13.2,crimestats2018
kzn,2014,12.6,crimestats2018
kzn,2015,10.6,crimestats2018
kzn,2016,10.7,crimestats2018
kzn,2017,9.5,crimestats2018
kzn,2018,10.3,crimestats2018
nw,2009,13.5,crimestats2018
nw,2010,12.8,crimestats2018
nw,2011,12.8,crimestats2018
nw,2012,11.7,crimestats2018
nw,2013,10.6,crimestats2018
nw,2014,8.3,crimestats2018
nw,2015,8.4,crimestats2018
nw,2016,8.2,crimestats2018
nw,2017,8.4,crimestats2018
nw,2018,9.0,crimestats2018
gp,2009,10.6,crimestats2018
gp,2010,8.9,crimestats2018
gp,2011,10.5,crimestats2018
gp,2012,10.1,crimestats2018
gp,2013,10.9,crimestats2018
gp,2014,9.6,crimestats2018
gp,2015,9.2,crimestats2018
gp,2016,8.9,crimestats2018
gp,2017,9.1,crimestats2018
gp,2018,10.5,crimestats2018
mp,2009,5.3,crimestats2018
mp,2010,5.0,crimestats2018
mp,2011,5.5,crimestats2018
mp,2012,6.2,crimestats2018
mp,2013,5.9,crimestats2018
mp,2014,5.8,crimestats2018
mp,2015,5.2,crimestats2018
mp,2016,5.7,crimestats2018
mp,2017,6.0,crimestats2018
mp,2018,6.3,crimestats2018
lm,2009,4.1,crimestats2018
lm,2010,3.8,crimestats2018
lm,2011,4.2,crimestats2018
lm,2012,4.7,crimestats2018
lm,2013,5.3,crimestats2018
lm,2014,4.9,crimestats2018
lm,2015,4.4,crimestats2018
lm,2016,4.3,crimestats2018
lm,2017,4.2,crimestats2018
lm,2018,5.2,crimestats2018
zaf,2009,12.9,crimestats2018
zaf,2010,13.2,crimestats2018
zaf,2011,13.7,crimestats2018
zaf,2012,13.9,crimestats2018
zaf,2013,13.3,crimestats2018
zaf,2014,12.4,crimestats2018
zaf,2015,11.2,crimestats2018
zaf,2016,11.3,crimestats2018
zaf,2017,11.2,crimestats2018
zaf,2018,12.0,crimestats2018
