geo,year,geo,incidence_sexual_assault_per_100000,datasource
zaf,2009,wc,30.6,crimestats
zaf,2009,ec,9.5,crimestats
zaf,2009,nc,25.3,crimestats
zaf,2009,fs,18.6,crimestats
zaf,2009,kzn,12.5,crimestats
zaf,2009,nw,13.5,crimestats
zaf,2009,gp,10.6,crimestats
zaf,2009,mp,5.3,crimestats
zaf,2009,lm,4.1,crimestats
zaf,2009,zaf,12.9,crimestats
zaf,2010,wc,35.9,crimestats
zaf,2010,ec,8.9,crimestats
zaf,2010,nc,26.8,crimestats
zaf,2010,fs,18.4,crimestats
zaf,2010,kzn,13.7,crimestats
zaf,2010,nw,12.8,crimestats
zaf,2010,gp,8.9,crimestats
zaf,2010,mp,5.0,crimestats
zaf,2010,lm,3.8,crimestats
zaf,2010,zaf,13.2,crimestats
zaf,2011,wc,32.8,crimestats
zaf,2011,ec,10.0,crimestats
zaf,2011,nc,26.3,crimestats
zaf,2011,fs,22.5,crimestats
zaf,2011,kzn,14.1,crimestats
zaf,2011,nw,12.8,crimestats
zaf,2011,gp,10.5,crimestats
zaf,2011,mp,5.5,crimestats
zaf,2011,lm,4.2,crimestats
zaf,2011,zaf,13.7,crimestats
zaf,2012,wc,34.2,crimestats
zaf,2012,ec,10.5,crimestats
zaf,2012,nc,23.5,crimestats
zaf,2012,fs,23.6,crimestats
zaf,2012,kzn,14.0,crimestats
zaf,2012,nw,11.7,crimestats
zaf,2012,gp,10.1,crimestats
zaf,2012,mp,6.2,crimestats
zaf,2012,lm,4.7,crimestats
zaf,2012,zaf,13.9,crimestats
zaf,2013,wc,29.4,crimestats
zaf,2013,ec,11.4,crimestats
zaf,2013,nc,20.9,crimestats
zaf,2013,fs,21.2,crimestats
zaf,2013,kzn,13.2,crimestats
zaf,2013,nw,10.6,crimestats
zaf,2013,gp,10.9,crimestats
zaf,2013,mp,5.9,crimestats
zaf,2013,lm,5.3,crimestats
zaf,2013,zaf,13.3,crimestats
zaf,2014,wc,28.3,crimestats
zaf,2014,ec,10.7,crimestats
zaf,2014,nc,21.5,crimestats
zaf,2014,fs,19.8,crimestats
zaf,2014,kzn,12.6,crimestats
zaf,2014,nw,8.3,crimestats
zaf,2014,gp,9.6,crimestats
zaf,2014,mp,5.8,crimestats
zaf,2014,lm,4.9,crimestats
zaf,2014,zaf,12.4,crimestats
zaf,2015,wc,26.7,crimestats
zaf,2015,ec,9.8,crimestats
zaf,2015,nc,19.4,crimestats
zaf,2015,fs,15.7,crimestats
zaf,2015,kzn,10.6,crimestats
zaf,2015,nw,8.4,crimestats
zaf,2015,gp,9.2,crimestats
zaf,2015,mp,5.2,crimestats
zaf,2015,lm,4.4,crimestats
zaf,2015,zaf,11.2,crimestats
zaf,2016,wc,25.1,crimestats
zaf,2016,ec,11.5,crimestats
zaf,2016,nc,20.2,crimestats
zaf,2016,fs,17.1,crimestats
zaf,2016,kzn,10.7,crimestats
zaf,2016,nw,8.2,crimestats
zaf,2016,gp,8.9,crimestats
zaf,2016,mp,5.7,crimestats
zaf,2016,lm,4.3,crimestats
zaf,2016,zaf,11.3,crimestats
zaf,2017,wc,26.1,crimestats
zaf,2017,ec,11.6,crimestats
zaf,2017,nc,19.5,crimestats
zaf,2017,fs,16.6,crimestats
zaf,2017,kzn,9.5,crimestats
zaf,2017,nw,8.4,crimestats
zaf,2017,gp,9.1,crimestats
zaf,2017,mp,6.0,crimestats
zaf,2017,lm,4.2,crimestats
zaf,2017,zaf,11.2,crimestats
zaf,2018,wc,26.1,crimestats
zaf,2018,ec,12.4,crimestats
zaf,2018,nc,20.1,crimestats
zaf,2018,fs,15.1,crimestats
zaf,2018,kzn,10.3,crimestats
zaf,2018,nw,9.0,crimestats
zaf,2018,gp,10.5,crimestats
zaf,2018,mp,6.3,crimestats
zaf,2018,lm,5.2,crimestats
zaf,2018,zaf,12.0,crimestats
