geo,year,allocation,marine_sciences_funding,datasource
zaf,2008,science,0.59,csti17
zaf,2009,science,0.62,csti17
zaf,2010,science,0.86,csti17
zaf,2011,science,0.58,csti17
zaf,2012,science,0.41,csti17
zaf,2013,science,0.45,csti17
zaf,2014,science,0.52,csti17
zaf,2015,science,0.58,csti17
zaf,2016,science,0.56,csti17
zaf,2017,science,0.76,csti17
zaf,2008,gerd,0.27,csti17
zaf,2009,gerd,0.28,csti17
zaf,2010,gerd,0.38,csti17
zaf,2011,gerd,0.26,csti17
zaf,2012,gerd,0.17,csti17
zaf,2013,gerd,0.20,csti17
zaf,2014,gerd,0.22,csti17
zaf,2015,gerd,0.26,csti17
zaf,2016,gerd,0.25,csti17
zaf,2017,gerd,0.35,csti17
