geo,year,occupation,sex,currency,median_monthly_earnings_employees,datasource
zaf,2010,manager,male,zar,12000,qlfs2016
zaf,2011,manager,male,zar,15000,qlfs2016
zaf,2012,manager,male,zar,14000,qlfs2016
zaf,2013,manager,male,zar,15000,qlfs2016
zaf,2014,manager,male,zar,16500,qlfs2016
zaf,2015,manager,male,zar,20000,qlfs2016
zaf,2016,manager,male,zar,12000,qlfs2016
zaf,2017,manager,male,zar,19000,qlfs2016
zaf,2010,professional,male,zar,12000,qlfs2016
zaf,2011,professional,male,zar,16000,qlfs2016
zaf,2012,professional,male,zar,15000,qlfs2016
zaf,2013,professional,male,zar,16000,qlfs2016
zaf,2014,professional,male,zar,16000,qlfs2016
zaf,2015,professional,male,zar,21000,qlfs2016
zaf,2016,professional,male,zar,20000,qlfs2016
zaf,2017,professional,male,zar,20000,qlfs2016
zaf,2010,technician,male,zar,8000,qlfs2016
zaf,2011,technician,male,zar,8000,qlfs2016
zaf,2012,technician,male,zar,8000,qlfs2016
zaf,2013,technician,male,zar,8500,qlfs2016
zaf,2014,technician,male,zar,5850,qlfs2016
zaf,2015,technician,male,zar,5500,qlfs2016
zaf,2016,technician,male,zar,7500,qlfs2016
zaf,2017,technician,male,zar,7000,qlfs2016
zaf,2010,clerk,male,zar,5000,qlfs2016
zaf,2011,clerk,male,zar,5000,qlfs2016
zaf,2012,clerk,male,zar,5200,qlfs2016
zaf,2013,clerk,male,zar,5000,qlfs2016
zaf,2014,clerk,male,zar,5000,qlfs2016
zaf,2015,clerk,male,zar,4800,qlfs2016
zaf,2016,clerk,male,zar,5400,qlfs2016
zaf,2017,clerk,male,zar,6000,qlfs2016
zaf,2010,sales,male,zar,2800,qlfs2016
zaf,2011,sales,male,zar,3000,qlfs2016
zaf,2012,sales,male,zar,3200,qlfs2016
zaf,2013,sales,male,zar,3293,qlfs2016
zaf,2014,sales,male,zar,3500,qlfs2016
zaf,2015,sales,male,zar,3500,qlfs2016
zaf,2016,sales,male,zar,3800,qlfs2016
zaf,2017,sales,male,zar,3900,qlfs2016
zaf,2010,skilled_agriculture,male,zar,2500,qlfs2016
zaf,2011,skilled_agriculture,male,zar,1300,qlfs2016
zaf,2012,skilled_agriculture,male,zar,1733,qlfs2016
zaf,2013,skilled_agriculture,male,zar,2050,qlfs2016
zaf,2014,skilled_agriculture,male,zar,2383,qlfs2016
