geo,year,occupation,sex,median_monthly_earnings_employees,datasource
zaf,2010,manager,male,12000,qlfs2016
zaf,2010,professional,male,12000,qlfs2016
zaf,2010,technician,male,8000,qlfs2016
zaf,2010,clerk,male,5000,qlfs2016
zaf,2010,sales,male,2800,qlfs2016
zaf,2010,skilled_agriculture,male,2500,qlfs2016
zaf,2010,craft,male,3000,qlfs2016
zaf,2010,operator,male,3033,qlfs2016
zaf,2010,elementary,male,1700,qlfs2016
zaf,2010,domestic_worker,male,1000,qlfs2016
zaf,2010,manager,female,9000,qlfs2016
zaf,2010,professional,female,9900,qlfs2016
zaf,2010,technician,female,7500,qlfs2016
zaf,2010,clerk,female,4000,qlfs2016
zaf,2010,sales,female,2000,qlfs2016
zaf,2010,skilled_agriculture,female,1560,qlfs2016
zaf,2010,craft,female,2067,qlfs2016
zaf,2010,operator,female,1950,qlfs2016
zaf,2010,elementary,female,1500,qlfs2016
zaf,2010,domestic_worker,female,1000,qlfs2016
zaf,2017,manager,male,19000,qlfs2016
zaf,2017,professional,male,20000,qlfs2016
zaf,2017,technician,male,7000,qlfs2016
zaf,2017,clerk,male,6000,qlfs2016
zaf,2017,sales,male,3900,qlfs2016
zaf,2017,skilled_agriculture,male,2200,qlfs2016
zaf,2017,craft,male,4333,qlfs2016
zaf,2017,operator,male,4116,qlfs2016
zaf,2017,elementary,male,2700,qlfs2016
zaf,2017,domestic_worker,male,1700,qlfs2016
zaf,2017,manager,female,17000,qlfs2016
zaf,2017,professional,female,18600,qlfs2016
zaf,2017,technician,female,6000,qlfs2016
zaf,2017,clerk,female,5000,qlfs2016
zaf,2017,sales,female,2900,qlfs2016
zaf,2017,skilled_agriculture,female,1200,qlfs2016
zaf,2017,craft,female,3100,qlfs2016
zaf,2017,operator,female,3250,qlfs2016
zaf,2016,elementary,female,2166,qlfs2016
zaf,2016,domestic_worker,female,1733,qlfs2016
