geo,year,sex,age_group,participation_rate_in_education_35_64,datasource
zaf,2015,male,35_64,7.2,ghs15_17
zaf,2016,male,35_64,7.3,ghs15_17
zaf,2017,male,35_64,7.3,ghs15_17
zaf,2015,female,35_64,8.6,ghs15_17
zaf,2016,female,35_64,9.5,ghs15_17
zaf,2017,female,35_64,8.7,ghs15_17
zaf,2015,disabled,35_64,2.1,ghs15_17
zaf,2016,disabled,35_64,2.3,ghs15_17
zaf,2017,disabled,35_64,1.7,ghs15_17
zaf,2015,not_disabled,35_64,8.2,ghs15_17
zaf,2016,not_disabled,35_64,8.7,ghs15_17
zaf,2017,not_disabled,35_64,8.2,ghs15_17
