geo,year,mode_transport,passenger_and_freight_volumes,datasource
zaf,2008,rail_journey,558,lts2017
zaf,2015,rail_journey,475,lts2017
zaf,2016,rail_journey,373,lts2017
zaf,2017,rail_journey,366,lts2017
zaf,2008,road_journey,287,lts2017
zaf,2015,road_journey,330,lts2017
zaf,2016,road_journey,283,lts2017
zaf,2017,road_journey,281,lts2017
zaf,2008,rail_freight,182,lts2017
zaf,2015,rail_freight,224,lts2017
zaf,2016,rail_freight,200,lts2017
zaf,2017,rail_freight,203,lts2017
zaf,2008,road_freight,556,lts2017
zaf,2015,road_freight,595,lts2017
zaf,2016,road_freight,567,lts2017
zaf,2017,road_freight,574,lts2017
