geo,year,geotype,service,percent_pop_access_safe_water,datasource
zaf,2015,national,safely_managed,77,ghs15_17
zaf,2016,national,safely_managed,75,ghs15_17
zaf,2017,national,safely_managed,80,ghs15_17
zaf,2015,national,basic_services,7,ghs15_17
zaf,2016,national,basic_services,9,ghs15_17
zaf,2017,national,basic_services,6,ghs15_17
zaf,2015,national,unimproved,3,ghs15_17
zaf,2016,national,unimproved,3,ghs15_17
zaf,2017,national,unimproved,3,ghs15_17
zaf,2015,national,limited_services,9,ghs15_17
zaf,2016,national,limited_services,10,ghs15_17
zaf,2017,national,limited_services,9,ghs15_17
zaf,2015,national,no_service,3,ghs15_17
zaf,2016,national,no_service,3,ghs15_17
zaf,2017,national,no_service,3,ghs15_17
zaf,2015,non_urban,safely_managed,62,ghs15_17
zaf,2016,non_urban,safely_managed,60,ghs15_17
zaf,2017,non_urban,safely_managed,67,ghs15_17
zaf,2015,non_urban,basic_services,0,ghs15_17
zaf,2016,non_urban,basic_services,1,ghs15_17
zaf,2017,non_urban,basic_services,19,ghs15_17
zaf,2015,non_urban,unimproved,8,ghs15_17
zaf,2016,non_urban,unimproved,8,ghs15_17
zaf,2017,non_urban,unimproved,8,ghs15_17
zaf,2015,non_urban,limited_services,21,ghs15_17
zaf,2016,non_urban,limited_services,22,ghs15_17
zaf,2017,non_urban,limited_services,8,ghs15_17
zaf,2015,non_urban,no_service,9,ghs15_17
zaf,2016,non_urban,no_service,9,ghs15_17
zaf,2017,non_urban,no_service,7,ghs15_17
zaf,2015,urban,safely_managed,86,ghs15_17
zaf,2016,urban,safely_managed,84,ghs15_17
zaf,2017,urban,safely_managed,87,ghs15_17
zaf,2015,urban,basic_services,11,ghs15_17
zaf,2016,urban,basic_services,12,ghs15_17
zaf,2017,urban,basic_services,10,ghs15_17
zaf,2015,urban,unimproved,0,ghs15_17
zaf,2016,urban,unimproved,0,ghs15_17
zaf,2017,urban,unimproved,0,ghs15_17
zaf,2015,urban,limited_services,3,ghs15_17
zaf,2016,urban,limited_services,3,ghs15_17
zaf,2017,urban,limited_services,3,ghs15_17
zaf,2015,urban,no_service,0,ghs15_17
zaf,2016,urban,no_service,0,ghs15_17
zaf,2017,urban,no_service,0,ghs15_17
