geo,year,geotype,service,percent_pop_use_safe_sanitation_hand_wash,datasource
zaf,2015,national,basic_services,67,ghs15_17
zaf,2016,national,basic_services,68,ghs15_17
zaf,2017,national,basic_services,70,ghs15_17
zaf,2015,national,limited_services,13,ghs15_17
zaf,2016,national,limited_services,13,ghs15_17
zaf,2017,national,limited_services,13,ghs15_17
zaf,2015,national,unimproved,16,ghs15_17
zaf,2016,national,unimproved,16,ghs15_17
zaf,2017,national,unimproved,15,ghs15_17
zaf,2015,national,open_defication,4,ghs15_17
zaf,2016,national,open_defication,3,ghs15_17
zaf,2017,national,open_defication,2,ghs15_17
zaf,2015,non_urban,basic_services,54,ghs15_17
zaf,2016,non_urban,basic_services,57,ghs15_17
zaf,2017,non_urban,basic_services,60,ghs15_17
zaf,2015,non_urban,limited_services,5,ghs15_17
zaf,2016,non_urban,limited_services,5,ghs15_17
zaf,2017,non_urban,limited_services,5,ghs15_17
zaf,2015,non_urban,unimproved,33,ghs15_17
zaf,2016,non_urban,unimproved,33,ghs15_17
zaf,2017,non_urban,unimproved,31,ghs15_17
zaf,2015,non_urban,open_defication,8,ghs15_17
zaf,2016,non_urban,open_defication,6,ghs15_17
zaf,2017,non_urban,open_defication,4,ghs15_17
zaf,2015,urban,basic_services,73,ghs15_17
zaf,2016,urban,basic_services,74,ghs15_17
zaf,2017,urban,basic_services,75,ghs15_17
zaf,2015,urban,limited_services,18,ghs15_17
zaf,2016,urban,limited_services,18,ghs15_17
zaf,2017,urban,limited_services,17,ghs15_17
zaf,2015,urban,unimproved,7,ghs15_17
zaf,2016,urban,unimproved,6,ghs15_17
zaf,2017,urban,unimproved,7,ghs15_17
zaf,2015,urban,open_defication,2,ghs15_17
zaf,2016,urban,open_defication,2,ghs15_17
zaf,2017,urban,open_defication,1,ghs15_17
