geo,year,grade,levels,proportion_of_children_and_young_people,datasource
zaf,2011,grade_3,literacy,31.0,ana11_14
zaf,2012,grade_3,literacy,57.0,ana11_14
zaf,2013,grade_3,literacy,57.0,ana11_14
zaf,2014,grade_3,literacy,66.0,ana11_14
zaf,2011,grade_6,literacy,15.0,ana11_14
zaf,2012,grade_6,literacy,39.0,ana11_14
zaf,2013,grade_6,literacy,68.0,ana11_14
zaf,2014,grade_6,literacy,77.0,ana11_14
zaf,2011,grade_9,literacy,,ana11_14
zaf,2012,grade_9,literacy,39.0,ana11_14
zaf,2013,grade_9,literacy,37.0,ana11_14
zaf,2014,grade_9,literacy,48.0,ana11_14
zaf,2011,grade_3,numeracy,17.0,ana11_14
zaf,2012,grade_3,numeracy,36.0,ana11_14
zaf,2013,grade_3,numeracy,59.0,ana11_14
zaf,2014,grade_3,numeracy,65.0,ana11_14
zaf,2011,grade_6,numeracy,12.0,ana11_14
zaf,2012,grade_6,numeracy,11.0,ana11_14
zaf,2013,grade_6,numeracy,27.0,ana11_14
zaf,2014,grade_6,numeracy,35.0,ana11_14
zaf,2011,grade_9,numeracy,25.0,ana11_14
zaf,2012,grade_9,numeracy,2.0,ana11_14
zaf,2013,grade_9,numeracy,2.0,ana11_14
zaf,2014,grade_9,numeracy,3.0,ana11_14
