geo,year,sex,proportions_positions_public_institutions,datasource
zaf,2010,male,76,ocj
zaf,2012,male,72,ocj
zaf,2013,male,71,ocj
zaf,2014,male,67,ocj
zaf,2015,male,66,ocj
zaf,2016,male,65,ocj
zaf,2017,male,63,ocj
zaf,2010,female,24,ocj
zaf,2012,female,28,ocj
zaf,2013,female,29,ocj
zaf,2014,female,33,ocj
zaf,2015,female,34,ocj
zaf,2016,female,35,ocj
zaf,2017,female,37,ocj
zaf,2010,ind,9,ocj
zaf,2012,ind,10,ocj
zaf,2013,ind,10,ocj
zaf,2014,ind,10,ocj
zaf,2015,ind,10,ocj
zaf,2016,ind,10,ocj
zaf,2017,ind,9,ocj
zaf,2010,afr,39,ocj
zaf,2012,afr,40,ocj
zaf,2013,afr,42,ocj
zaf,2014,afr,43,ocj
zaf,2015,afr,44,ocj
zaf,2016,afr,44,ocj
zaf,2017,afr,47,ocj
zaf,2010,wht,42,ocj
zaf,2012,wht,39,ocj
zaf,2013,wht,38,ocj
zaf,2014,wht,37,ocj
zaf,2015,wht,36,ocj
zaf,2016,wht,36,ocj
zaf,2017,wht,33,ocj
zaf,2010,col,10,ocj
zaf,2012,col,10,ocj
zaf,2013,col,10,ocj
zaf,2014,col,10,ocj
zaf,2015,col,10,ocj
zaf,2016,col,10,ocj
zaf,2017,col,11,ocj
