age_group,name,description
0_14,0-14 yrs,age 0-14 years
0_17,0-17 yrs,age 0-17 years
0_49,0-49 yrs,age 0-49 years
7_9,7-9 yrs,age 7-9 years
7_17,7-17 yrs,age 7-17 years
10_14,10-14 yrs,age 10-14 years
10_15,10-15 yrs,age 10-15 years
15_24,15-24 yrs,age 15-24 years
15_19,15-19 yrs,age 15-19 years
15_49,15-49 yrs,age 15-49 years
16_17,16-17 yrs,age 16-17 years
18_24,18-24 yrs,age 18-24 years
24_49,24-49 yrs,age 24-49 years
25_34,25-34 yrs,age 25-34 years
35_44,35-44 yrs,age 35-44 years
45_54,45-54 yrs,age 45-54 years
55_64,55-64 yrs,age 55-64 years
15_64,15-64 yrs,age 15-64 years
34_64,34-64 yrs,age 34-64 years
65,65+ yrs,age 64+ years older
15_34,15-34 yrs,age 15-34 years
35_64,35-64 yrs,age 35-64 years
total_15_49,Total 15-49,Total for persons 15-49 years
total_18,Total (18+),Total for persons older than 18 yrs
total,Total,Total for persons
15,Before 15,Marriage before age 15
18,Before 18,Marriage before age 18
