datasource,name,description,provider
ies2015lc2015,Income and Expenditure Survey 2015 and Living Conditions Survey 2015,Income and Expenditure Survey and Living Conditions Survey,Statistics South Africa
ies2006lc2015,Income and Expenditure Survey 2006_2011 and Living Conditions Survey 2015,Income and Expenditure Survey and Living Conditions Survey,Statistics South Africa
ghs2013,General Household Survey for 2013,Annual General Household Survey for 2013,Statistics South Africa
ghs2014,General Household Survey for 2014,Annual General Household Survey for 2014,Statistics South Africa
ghs2015,General Household Survey for 2015,General Household Survey for 2015,Statistics South Africa
ghs2016,General Household Survey for 2016,General Household Survey for 2016,Statistics South Africa
ghs2017,General Household Survey for 2017,General Household Survey for 2017,Statistics South Africa
ghs09_17,General Household Survey for 2009-2017,General Household Survey for 2009-2017,Statistics South Africa
ghs15_17,General Household Survey for 2015-2017,General Household Survey for 2015-2017,Statistics South Africa
ghs11_18,General Household Survey for 2011-2018,General Household Survey for 2011-2018,Statistics South Africa
ghs2018,General Household Survey for 2018,Annual General Household Survey for 2018,Statistics South Africa
ghs07_17,General Household Survey for 2007-2017,General Household Survey for 2007-2017,Statistics South Africa
ghs13_17,General Household Survey for 2013-2017,Annual General Household Survey for 2013-2017,Statistics South Africa
ene2017,ENE 2017,Estimates of National Expenditure for 2017,National Treasury
ies2015,Income and Expenditure Survey 2015,Income and Expenditure Survey,Statistics South Africa
socpen2016,SOCPEN 2016,,Department of Social Development
who,Health Regulation(IHR)capacity and health emergency prepardness,World Health Organisation IHR Core Capacities Implementation Status 2010-2018,World Health Organisation
socpen2018,Social Pension 2013-2018,,Department of Social Development
cs2016,Community Survey 2016,Community Survey 2016,Statistics South Africa
cen,Census,Census 2011,Statistics South Africa
cs2016cen2016,Community Survey 2016 and Census (2001 and 2016),Community Survey 2016 and Census (2011 and 2016)SAMPI Index,Statistics South Africa
socpenpopestimates2016,SOCPEN and Mid-year population estimates_2016,SOCPEN and Mid-year population estimates_2016,Department of Social Development and Statistics South Africa
ene2015,ENE 2015,Estimates of National Expenditure for 2015,National Treasury
ene2016,ENE 2016,Estimates of National Expenditure for 2016,National Treasury
sanhanes2014,SANHANES,South African National Health and Nutrition Examination Survey (SANHANES-1)_2014,Human Science Research Council
sanhanes2016sadhs,SANHANES,South African National Health and Nutrition Examination Survey and SADHS,Human Science Research Council and Statistics South Africa
sadhs2016,South African Demographic Health Survey 2016,South African Demographic Health Survey 2016,Statistics South Africa
sadhs98_16,South African Demographic Health Survey 1998 and 2016,South African Demographic Health Survey 1998 and 2016,Statistics South Africa
sadhs16,South African Demographic Health Survey 1998 and 2016,South African Demographic Health Survey 1998 and 2016,Statistics South Africa and South African Medical Research Counsel
dhis2015,District Health Information System 2015,District Health Information System 2015,Statistics South Africa
dhis2016,District Health Information System 2016,District Health Information System 2016,Statistics South Africa
dhis2017,District Health Information System 2017,District Health Information System 2017,Statistics South Africa
dhis11_17,District Health Information System 2011-2017,District Health Information System 2011-2017,Department of Health
dhis14_18,District Health Information System 2014-2014,District Health Information System 2014-2018,Department of Health
svs,Stock Visibility System, Stock Visibility System 2013-2018,Department of Health
rms2015,Rapid Mortality Surveillance 2015,Rapid Mortality Surveillance 2015,Department of Health
anpas2015,Agricultural National Public Assets,Agricultural National Public Assets,Agricultural Research Council 
anpas2017,Agricultural National Public Assets,Agricultural National Public Assets,Agricultural Research Council
dcsannualreports2016,Annual Reports 2016,Annual Reports 2015-2016,Department of Correctional Services
dcsannualreports2018,Annual Reports 2016,Annual Reports 2007/2008-2017/2018,Department of Correctional Services
vocs2016,Victims of Crime Survey 2016,Victims of Crime Survey 2016,Statistics South Africa
vocs2018,Victims of Crime Survey 2014-2018,Victims of Crime Survey 2014-2018,Statistics South Africa
vocs2015,Victims of Crime Survey 2015/2016-2017/2018,Victims of Crime Survey 2015/2016-2017/2018,Statistics South Africa
crvs2014,Civil Registration and Vita Statistics,Civil Registration and Vita Statistics 2014,Statistics South Africa
crvs10_14,Civil Registration and Vita Statistics,Civil Registration and Vita Statistics 2010-2014,Statistics South Africa
crvs2016,Civil Registration and Vita Statistics,Civil Registration and Vita Statistics 2016,Statistics South
crvs2015,Civil Registration and Vita Statistics,Civil Registration and Vita Statistics 2015,Statistics South Africa
crvs15,Civil Registration and Vita Statistics (2010-2015) and South African Demographic Health Survey (1998 and 2016),Civil Registration and Vita Statistics (2001-2015) and South African Demographic Health Survey (1998 and 2016),Statistics South Africa
crvs2013,Civil Registration and Vita Statistics,Civil Registration and Vita Statistics 2013,Statistics South Africa
crvs07_17,Civil Registration and Vita Statistics 2007-2017,Civil Registration and Vita Statistics 2007-2017,Statistics South Africa
crvs10_17,Civil Registration and Vita Statistics,Civil Registration and Vita Statistics 2010-2017,Statistics South Africa
rlb13_17,Recorded Live Births 2013–2017,Recorded Live Births 2013–2017,Statistics South Africa
naneb2014,National Energy Balances,National Accounts 2014 & National Energy Balances,Statistics South Africa and  Department of Energy
naneb,National Energy Balances 2011-2015,Financial Statistics of National Government 2011-2015,Statistics South Africa and Department of Energy
naneb2013,national Energy Balances 2013,National Energy Balances 2013,Statistics South Africa and  Department of Energy
naneb2015,national Energy Balances 2013-2015,National Energy Balances 2013-2015,Statistics South Africa and  Department of Energy
redis,REDIS 2012-2018,Renewable Energy Data and Information Service (REDIS)2012-2018,Department of Energy
mype2016,Mid-year Population Estimates,Mid-year Population Estimates for 2016 based on Vital Statistics,Statistics South Africa
gdp2016,Gross Domestic Product for 2016,Gross Domestic Product for 2016 based on the System of National Accounts,Statistics South Africa
qlfs2016,Quarterly Labour Force Survey for 2016,Quarterly Labour Force Survey for 2016,Statistics South Africa
qlfs2017,Quarterly Labour Force Survey for 2015-2017,Quarterly Labour Force Survey for 2015-2017,Statistics South Africa
qlfs,Quarterly Labour Force Survey for 2010-2017,Quarterly Labour Force Survey for 2010-2017,Statistics South Africa
qlfs10_15,Quarterly Labour Force Survey for 2010-2015,Quarterly Labour Force Survey for 2015-2017,Statistics South Africa
qlfs14_17,Quarterly Labour Force Survey for 2014-2017,Quarterly Labour Force Survey for 2014-2017,Statistics South Africa
sayp2015,Survey of Activities of Young People for 2015,Survey of Activities of Young People for 2015,Statistics South Africa
umehluko2016,Management information system of fatal and non-fatal occupational injuries ,Management information system of fatal and non-fatal occupational injuries ,Department of Labour
tsa2015,Tourism Satellite Account,Toursim Satellite Accounts for 2015,Statistics South Africa
tsa2016,Tourism Satellite Account,Toursim Satellite Accounts for 2007-2016,Statistics South Africa
lts2016,South Africa Land Transport Survey,South Africa Land Transport Survey,Statistics South Africa
crimestats2016,Reported Crime Statistics for 2015/16,Reported Crime Statistics for 2015/16,South African Police Services
crimestats,Reported Crime Statistics for 2008-2018,Reported Crime Statistics for 2008-2018,South African Police Services
crimestats2018,Reported Crime Statistics for 2008/2019-2017/2017,Reported Crime Statistics for 2008/2019-2017/2017,South African Police Services
saps,Annual Reports 2015/2016-2017/2018,Annual Reports 2015/2016-2017/2018,South African Police Services
sayrbs2002,South African Youth Risk Behaviour Survey for the year 2002,South African Youth Risk Behaviour Survey for the year 2002,South African Medical Research Council (MRC)
sayrbs2008,South African Youth Risk Behaviour Survey for the year 2008,South African Youth Risk Behaviour Survey for the year 2008,South African Medical Research Council (MRC)
sayrbs2011,South African Youth Risk Behaviour Survey for the year 2011,South African Youth Risk Behaviour Survey for the year 2011,Human Sciences Research Council (HSRC)
sanhiv2012,South African National HIV Prevalence Incidence and Behaviour Survey for 2012,South African National HIV Prevalence Incidence and Behaviour Survey for 2012, Human Sciences Research Council
globaltb2015,Global TB Reports 2015,Global TB Reports 2015,Global TB Reports
globaltb2017,Global TB Reports 2010-2017,Global TB Reports 2010-2017,Global TB Reports
mis2015,Malaria Information System for 2015, Malaria Information System for 2015, Department of Health
mis10_18,Malaria Information System for 2010-2018, Malaria Information System for 2010-2018, Department of Health
srsr2016,State of Road Safety Report for 2016,State of Road Safety Report for 2016,Road Traffic Management Corporation
hemis2015,Higher Education Management Information System for 2015,Higher Education Management Information System for 2015,Department of Higher Education and Training
hemis11_16,Higher Education Management Information System for 2011-2016,Higher Education Management Information System for 2011-2016,Department of Higher Education and Training
hemis2016,Higher Education Management Information System for 2007-2016,Higher Education Management Information System for 2007-2016,Department of Higher Education and Training
neims2016,National Education Infrastructure Management System (NEIMS)_2016,National Education Infrastructure Management System (NEIMS)_2016,Department of Basic Education
np2016, National Parliament 2016, National Parliament 2016, National Parliament
gds2017,GDS 2017,Green Drop System for 2017,Department of Water and Sanitation
wms,Water Management System(WMS)-2018,Water Management System(WMS)-2018,Department of Water and Sanitation
dwsstrategy2013,2013 Strategic Overview of the Water Sector in South Africa,Strategic Overview of the Water Sector in South Africa,Department of Water and Sanitation
dwstransboundarywater2017,Transboundary Water Basin Cooperation,Monitoring of SDG Indicator on Transboundary Water Cooperation,Department of Water and Sanitation
neb2013,National Energy Balances for 2013,National Energy Balances for 2013,Department of Energy
mype2016gdp2016, Mid Year Population Estimates and Gross Domestic Product (2015-2017), Mid Year Population Estimates and Gross Domestic Product (2015-2017), Statistics South Africa
qlfs2016gdp2016,Quarterly Labour Force Survey 2016 and Gross Domestic Product 2016, Quarterly Labour Force Survey 2016 and Gross Domestic Product 2016, Statistics South Africa
sayp2015,Survey of Activities of Young People for 2015,Survey of Activities of Young People for 2015,Statistics South Africa
umehluko2016,Management information system of fatal and non-fatal occupational injuries,Management information system of fatal and non-fatal occupational injuries,Department of Labour
tsa2015,Tourism Satellite Account for 2015,Toursim Satellite Accounts for 2015,Statistics South Africa
statisticsbis2015,Statistics on payment, clearing, and settlement systems in CPMI countries
lts2016,South Africa Land Transport Survey,South Africa Land Transport Survey,Statistics South Africa
gdp2016,Gross Domestic Product for 2016,Gross Domestic Product for 2016 based on the System of National Accounts,Statistics South Africa
res2014gdp2014,Research and Development Survey for 2013/14 and Gross Domestic Product 2014 and Gross Domestic Product 2014,Research and Development Survey for 2013/14 and Gross Domestic Product 2014 and Gross Domestic Product 2014,Department of Science and Technology and Statistics South Africa
