service,name,description
"electricity","Electricity",Electricity
"sanitation","Single-sex basic sanitation facilities","Single-sex basic sanitation facilities"
"water","Basic Drinking Water","Basic Drinking water"
"internet","Internet","The Internet for pedagogical purposes"
"computer","Computer","Computers for pedagogical purposes"
"infrastructure","Adapted Infrastructure","Adapted Infrastructure and materials for students with disabilities"
"handwashing","Basic handwashing facilities","Basic handwashing facilities"
"improved_san","Access to improved sanitation","Access to improved sanitation"
"access_elect","Access to electricity","Access to electricity"
"access_water","Access to improved water facilities","Access to improved water facilities"
