concept,concept_type,name,sdg_indicator,local_color,local_comment
year,time,Year,,,
name,string,Name,,,
area,entity_domain,Area,,,
area_code,string,Area code,,,
sdg_indicator,string,SDG indicator,,,
sex,entity_domain,Sex,,,
location,entity_domain,Location,,,
age_group,entity_domain,Age group,,,
_1_1_1,measure,Andel av befolkningen under den internationella fattigdomsgränsen, _1_1_1,Vit,SCB föreslår att SCB ansvarar för den globala indikatorn. En nationell indikator skulle kunna utvecklas för att mäta situationen för de allra mest utsatta t.ex. bland personer som inte har rätt till eller av ngn annan anledning inte uppbär (offentligt) ekonomiskt stöd. Den här indikatorn skulle också kunna undersöka fattigdomsfällan och/eller hur många som får bidrag men ändå behöver stöd från civila samhället (därför att det offentliga stödet inte räcker). Eller hur bidragstagares inkomster utvecklas i förhållande till andra.
_1_1_2,measure,Mått kring fattigdom och de allra mest utsatta grupperna i samhället, _1_1_2,Röd,
_1_2_1,measure,Andel av befolkning under den nationella fattigdomsgränsen, _1_2_1,Grön,
_11_5_1,measure,_11_5_1,_11_5_1,Orange,MSB
_11_6_2,measure,_11_6_2,_11_6_2,Grön,Folkhälsomyndigheten
_11_b_1,measure,_11_b_1,_11_b_1,Orange,MSB
_11_b_2,measure,_11_b_2,_11_b_2,Röd,MSB
_12_2_1,measure,_12_2_1,_12_2_1,Grön,SCB
_12_2_2,measure,_12_2_2,_12_2_2,Grön,SCB
_13_1_1,measure,_13_1_1,_13_1_1,Orange,MSB
_13_1_2,measure,_13_1_2,_13_1_2,Orange,MSB
_13_1_3,measure,_13_1_3,_13_1_3,Röd,MSB
_15_b_1,measure,_15_b_1,_15_b_1,Orange,Sida
_15_c_1,measure,_15_c_1,_15_c_1,Röd,Naturvårdsverket
_16_1_3,measure,_16_1_3,_16_1_3,Grön,SCB
_16_8_1,measure,_16_8_1,_16_8_1,Inte aktuellt för SE,UD
_16_b_1,measure,_16_b_1,_16_b_1,Röd,Folkhälsomyndigheten
_16_b_1,measure,_16_b_1,_16_b_1,Grön,Folkhälsomyndigheten
_1_1_1,measure,_1_1_1,_1_1_1,Vit,SCB
_1_2_1,measure,_1_2_1,_1_2_1,Orange,SCB
_1_2_1,measure,_1_2_1,_1_2_1,Grön,SCB
_1_2_2,measure,_1_2_2,_1_2_2,Orange,SCB
_1_2_2,measure,_1_2_2,_1_2_2,Grön,SCB
_1_3_1,measure,_1_3_1,_1_3_1,Grön,Socialdepartementet
_1_4_1,measure,_1_4_1,_1_4_1,Vit,SCB
_1_4_2,measure,_1_4_2,_1_4_2,Vit,SCB
_1_5_1,measure,_1_5_1,_1_5_1,Orange,MSB
_1_5_2,measure,_1_5_2,_1_5_2,Orange,MSB
_1_5_3,measure,_1_5_3,_1_5_3,Orange,MSB
_1_5_4,measure,_1_5_4,_1_5_4,Röd,MSB
_1_a_1,measure,_1_a_1,_1_a_1,Röd,SCB
_1_a_2,measure,_1_a_2,_1_a_2,Orange,SCB
_1_a_3,measure,_1_a_3,_1_a_3,Vit,SCB
_1_b_1,measure,_1_b_1,_1_b_1,Röd,SCB
_2_1_1,measure,_2_1_1,_2_1_1,Grön,Jordbruksverket
_2_1_1,measure,_2_1_1,_2_1_1,Röd,Folkhälsomyndigheten
_2_1_1,measure,_2_1_1,_2_1_1,Grön,Kemikalieinspektionen
_2_1_2,measure,_2_1_2,_2_1_2,VIt,Jordbruksverket
_2_2_1,measure,_2_2_1,_2_2_1,Vit,Socialstyrelsen
_2_2_2,measure,_2_2_2,_2_2_2,Vit,Socialstyrelsen
_2_2_2,measure,_2_2_2,_2_2_2,Grön,Folkhälsomyndigheten
_2_2_2,measure,_2_2_2,_2_2_2,Röd,Folkhälsomyndigheten
_2_3_1,measure,_2_3_1,_2_3_1,Röd,Jordbruksverket
_2_3_2,measure,_2_3_2,_2_3_2,Vit,Jordbruksverket
_2_4_1,measure,_2_4_1,_2_4_1,Röd,Jordbruksverket
_2_4_1,measure,_2_4_1,_2_4_1,Grön,Jordbruksverket
_2_5_1,measure,_2_5_1,_2_5_1,Grön,Jordbruksverket
_2_5_2,measure,_2_5_2,_2_5_2,Grön,Jordbruksverket
_2_a_1,measure,_2_a_1,_2_a_1,Grön,SCB
_2_a_2,measure,_2_a_2,_2_a_2,Grön,Sida
_2_b_1,measure,_2_b_1,_2_b_1,Vit,Jordbruksverket
_2_c_1,measure,_2_c_1,_2_c_1,Vit,Jordbruksverket
_3,measure,_3,_3,Grön,SCB
_3,measure,_3,_3,Grön,SCB
