concept,concept_type,name,sdg_indicator
area,entity_domain,Area,
location,entity_domain,Location,
name,string,Name,
sex,entity_domain,Sex,
age_group,entity_domain,Age group,
year,time,Year,
area_under_irrigation,measure,Area under Irrigation (Hectares),_2_4_1
proportion_of_paved_roads_in_total_road_network,measure,Proportion of paved roads in total road network (%),11_2_1
women_age_15_49_who_have_experienced_sexual_violence,measure,Women Age 15 49 Who Have Experienced Sexual Violence,_4_1_1
women_age_15_49_who_ever_violence_experienced,measure,Women Age 15 To 49 Who Ever Violence Experienced,_5_2_1
women_aged_15_49_years_use_morden_method_of_family_planning,measure,Women Aged 15 49 Years Use Morden Method Of Family Planning,_4_1_1
children_aged_5_17_engaging_in_child_labour,measure,Children Aged 5 17 Engaging In Child Labour,_8_7_1
men_and_women_age_15_and_49_do_not_have_health_insurance_coverage_percent,measure,Men And Womenage 15-49  Do Not Have  Health Insurance Coverage,_1_3_1
births_attended_by_skilled_health_personnel,measure,Births Attended By Skilled Health Personnel,_3_1_2
adolescent_birth_rate,measure,Adolscent Birth Rate,_3_7_2
development_budget,measure,Development Budget,_1_b_1
government_budget,measure,Government Budget,_17_1_2
recurrent_budge_percent,measure,Recurrent Budget,_1_b_1
death_caused_by_road_accidents,measure,Death Caused By Road Accidents,_3_c_1
multi_dimension_poverty_index_poverty_head_count_percent,measure,Multi Dimension Poverty Index Poverty Head Count,_1_2_2
primary_education_pupils_to_classroom_ratio,measure,Primary Education Pupils To Classroom Ratio,_4_a_1
primary_education_pupils_to_teacher_ratio,measure,Primary Education Pupils To Teacher Ratio,_4_a_1
net_enrolment_ratio_in_lower_education,measure,Net Enrolment Ratio In Lower Education,_4_1_1
gross_enrolment_ratio_in_lower_secondary_schools,measure,Gross Enrolment Ratio In Lower Secondary Schools,_4_1_1
life_expectancy_years,measure,Life Expectancy Years,_3_4_1
under_five_mortality_rate,measure,Under Five Mortality Rate,_4_1_1
national_food_inflation_rate,measure,National Food Inflation rate (%),_2_c_1  
real_growth_rate,measure,Real Growth Rate,_8_1_1
national_hiv_prevalence_rate,measure,National HIV prevalence rate (%),_3_3_1
stunting_in_children,measure,Stunting In Children,__2_1_1
income_inequality,measure,Income Inequality,_10_1_1
early_learning_gross_enrolment_ratio,measure,Early Learning Gross Enrolment Ratio,_4_1_1
early_learning_net_enrolment_ratio_percent_of_eligible,measure,Early Learning Net Enrolment Ratio Percent Of Eligible,_4_1_1
adult_literacy_rate,measure,Adult Literecy Rate,_4_6_1
infant_mortality_rate_per_1000_births,measure,"Infant Mortality Rate per 1,000 births",_3_2_1  
maternal_mortality_rate,measure,Maternal Mortality Rate,_3_1_1
primary_net_enrolment_ratio,measure,Primary Net Enrolment Ratio,_4_1_1
youth_not_in_education_employment_or_training,measure,Youth Not In Education Employment Or Training,_8_6_1
average_number_of_persons_per_sleeping_room,measure,Average Number Of Persons Per Sleeping Room,_1_2_2
share_of_fisheries_to_gdp_current_prices,measure,Share Of Fisheries To Gdp Current Prices,_14_7_1
share_of_forestry_to_gdp_current_prices,measure,Share Of Forestry To Gdp Current Prices,_10_1_1
share_of_forestry_to_total_export_earnings,measure,Share Of Forestry To Total Export Earnings,_2_3_1
share_of_gdp_current_prices,measure,Share Of Gdp Current Prices,_17_1_1
proportion_of_informal_employment_in_non_agriculture_employment,measure,Proportion Of Informal Employment In Non Agriculture Employment,_8_3_1
share_of_livestock_to_gdp_current_prices,measure,Share Of Livestock To Gdp Current Prices,_8_2_1
