area,year,circumcised_women
mainland,2016,10.3
dodoma,2016,46.7
arusha,2016,41
kilimanjaro,2016,10.1
tanga,2016,13.7
morogoro,2016,9.1
pwani,2016,5.3
dar_es_salaam,2016,4.2
lindi,2016,0.5
mtwara,2016,1.6
ruvuma,2016,0
iringa,2016,7.5
mbeya,2016,0.7
singida,2016,30.9
tabora,2016,0.6
rukwa,2016,0.4
kigoma,2016,0.3
shinyanga,2016,0.7
kagera,2016,0
mwanza,2016,1.1
mara,2016,32
manyara,2016,57.7
njombe,2016,7.2
katavi,2016,0.2
simiyu,2016,0.7
geita,2016,0.7
tanzania,2016,10
