area,year,sex,death_caused_by_road_accidents
mainland,2016,total,3256
mainland,2016,male,2580
mainland,2016,female,676
dodoma,2016,total,147
arusha,2016,total,56
kilimanjaro,2016,total,121
tanga,2016,total,112
morogoro,2016,total,184
pwani,2016,total,188
dar_es_salaam,2016,total,322
lindi,2016,total,106
mtwara,2016,total,53
ruvuma,2016,total,116
iringa,2016,total,136
mbeya,2016,total,302
singida,2016,total,165
tabora,2016,total,142
rukwa,2016,total,57
kigoma,2016,total,88
shinyanga,2016,total,146
kagera,2016,total,73
mwanza,2016,total,186
mara,2016,total,156
manyara,2016,total,118
njombe,2016,total,77
katavi,2016,total,38
simiyu,2016,total,81
geita,2016,total,86
dodoma,2016,male,130
arusha,2016,male,47
kilimanjaro,2016,male,99
tanga,2016,male,91
morogoro,2016,male,144
pwani,2016,male,163
dar_es_salaam,2016,male,257
lindi,2016,male,83
mtwara,2016,male,44
ruvuma,2016,male,92
iringa,2016,male,122
mbeya,2016,male,183
singida,2016,male,138
tabora,2016,male,115
rukwa,2016,male,51
kigoma,2016,male,66
shinyanga,2016,male,119
kagera,2016,male,56
mwanza,2016,male,148
mara,2016,male,123
manyara,2016,male,94
njombe,2016,male,55
katavi,2016,male,28
simiyu,2016,male,71
geita,2016,male,61
dodoma,2016,female,17
arusha,2016,female,9
kilimanjaro,2016,female,22
tanga,2016,female,21
morogoro,2016,female,40
pwani,2016,female,25
dar_es_salaam,2016,female,65
lindi,2016,female,23
mtwara,2016,female,9
ruvuma,2016,female,24
iringa,2016,female,14
mbeya,2016,female,119
singida,2016,female,27
tabora,2016,female,27
rukwa,2016,female,6
kigoma,2016,female,22
shinyanga,2016,female,27
kagera,2016,female,17
mwanza,2016,female,38
mara,2016,female,33
manyara,2016,female,24
njombe,2016,female,22
katavi,2016,female,10
simiyu,2016,female,10
geita,2016,female,25
