area,year,health_worker_density_nurse_and_midwife
mainland,2011,3.1
dodoma,2011,4.6
arusha,2011,3.4
kilimanjaro,2011,6.1
tanga,2011,3.4
morogoro,2011,2.9
pwani,2011,3.2
dar_es_salaam,2011,7.3
lindi,2011,3.2
mtwara,2011,2.2
ruvuma,2011,3.5
iringa,2011,3.9
mbeya,2011,3.1
singida,2011,2.1
tabora,2011,1.1
rukwa,2011,1.6
kigoma,2011,1.7
shinyanga,2011,1.8
kagera,2011,1.8
mwanza,2011,2.3
mara,2011,2.8
manyara,2011,0.1
njombe,2011,
katavi,2011,
simiyu,2011,
geita,2011,
mainland,2012,4.8
dodoma,2012,3.6
arusha,2012,2.5
kilimanjaro,2012,6.5
tanga,2012,3.6
morogoro,2012,3.4
pwani,2012,2.9
dar_es_salaam,2012,2.9
lindi,2012,4.1
mtwara,2012,2.8
ruvuma,2012,4.7
iringa,2012,6.2
mbeya,2012,4.5
singida,2012,3.4
tabora,2012,1.7
rukwa,2012,2.1
kigoma,2012,1.9
shinyanga,2012,1.9
kagera,2012,2.8
mwanza,2012,3.1
mara,2012,3.6
manyara,2012,2.7
mainland,2013,5.05
dodoma,2013,4.62
arusha,2013,5.95
kilimanjaro,2013,10.35
tanga,2013,4.36
morogoro,2013,5.19
pwani,2013,6.25
dar_es_salaam,2013,7.39
lindi,2013,5.6
mtwara,2013,4.63
ruvuma,2013,5.28
iringa,2013,7.66
mbeya,2013,6.76
singida,2013,4.41
tabora,2013,2.28
rukwa,2013,3.42
kigoma,2013,2.44
shinyanga,2013,3.86
kagera,2013,4.2
mwanza,2013,4.96
mara,2013,4.56
manyara,2013,5.72
njombe,2013,9.64
katavi,2013,1.52
simiyu,2013,1.81
geita,2013,2.23
mainland,2014,14.5
