area,year,wasting_weight_for_height_of_under_fives
dodoma,2010,5.2
arusha,2010,9.5
kilimanjaro,2010,5.3
tanga,2010,5.5
morogoro,2010,5.3
pwani,2010,4.2
dar_es_salaam,2010,6.8
lindi,2010,4.1
mtwara,2010,2.6
ruvuma,2010,4.8
iringa,2010,3.5
mbeya,2010,1.2
singida,2010,9.2
tabora,2010,3.9
rukwa,2010,3.8
kigoma,2010,3.2
shinyanga,2010,2.5
kagera,2010,5
mwanza,2010,3.9
mara,2010,5
manyara,2010,7.4
mainland,2014,4.6
dodoma,2014,6.7
arusha,2014,5.2
kilimanjaro,2014,4.2
tanga,2014,6.5
morogoro,2014,4.3
pwani,2014,2.8
dar_es_salaam,2014,6
lindi,2014,2.9
mtwara,2014,2.8
ruvuma,2014,3.3
iringa,2014,0.5
mbeya,2014,2.4
singida,2014,5.1
tabora,2014,2.5
rukwa,2014,3.2
kigoma,2014,4.5
shinyanga,2014,3.7
kagera,2014,3.2
mwanza,2014,1.4
mara,2014,7
manyara,2014,4.6
njombe,2014,3.5
katavi,2014,0.4
simiyu,2014,4.4
geita,2014,1.7
dodoma,2016,5.5
arusha,2016,6.5
kilimanjaro,2016,3.1
tanga,2016,3.4
morogoro,2016,6
pwani,2016,4.3
dar_es_salaam,2016,4.7
lindi,2016,1.2
mtwara,2016,3.2
ruvuma,2016,2.6
iringa,2016,3.6
mbeya,2016,4.7
singida,2016,4.7
tabora,2016,3.5
rukwa,2016,5.3
kigoma,2016,6
shinyanga,2016,3.3
kagera,2016,2.3
mwanza,2016,4.3
mara,2016,4.1
manyara,2016,6.4
njombe,2016,1.3
katavi,2016,3.4
simiyu,2016,5
geita,2016,6.2
tanzania,2010,4.8
mainland,2010,4.6
tanzania,2014,3.8
tanzania,2015,4.5
mainland,2015,4.4
