area,year,location,women_age_15_to_49_who_ever_violence_experienced
mainland,2016,total,50.4
mainland,2016,rural,52.8
mainland,2016,urban,45.6
dodoma,2016,total,49.7
arusha,2016,total,44.5
kilimanjaro,2016,total,34.5
tanga,2016,total,25.3
morogoro,2016,total,35.0
pwani,2016,total,35.2
dar_es_salaam,2016,total,38.9
lindi,2016,total,37.4
mtwara,2016,total,32.8
ruvuma,2016,total,43.6
iringa,2016,total,38.1
mbeya,2016,total,45.0
singida,2016,total,43.7
tabora,2016,total,70.5
rukwa,2016,total,46.4
kigoma,2016,total,60.6
shinyanga,2016,total,78.0
kagera,2016,total,66.9
mwanza,2016,total,59.8
mara,2016,total,78.1
manyara,2016,total,46.2
njombe,2016,total,53.1
katavi,2016,total,49.7
simiyu,2016,total,61.8
geita,2016,total,92.6
dodoma,2016,rural,
arusha,2016,rural,
kilimanjaro,2016,rural,
tanga,2016,rural,
morogoro,2016,rural,
pwani,2016,rural,
dar_es_salaam,2016,rural,
lindi,2016,rural,
mtwara,2016,rural,
ruvuma,2016,rural,
iringa,2016,rural,
mbeya,2016,rural,
singida,2016,rural,
tabora,2016,rural,
rukwa,2016,rural,
kigoma,2016,rural,
shinyanga,2016,rural,
kagera,2016,rural,
mwanza,2016,rural,
mara,2016,rural,
manyara,2016,rural,
njombe,2016,rural,
katavi,2016,rural,
simiyu,2016,rural,
geita,2016,rural,
dodoma,2016,urban,
arusha,2016,urban,
kilimanjaro,2016,urban,
tanga,2016,urban,
morogoro,2016,urban,
pwani,2016,urban,
dar_es_salaam,2016,urban,
lindi,2016,urban,
mtwara,2016,urban,
ruvuma,2016,urban,
iringa,2016,urban,
mbeya,2016,urban,
singida,2016,urban,
tabora,2016,urban,
rukwa,2016,urban,
kigoma,2016,urban,
shinyanga,2016,urban,
kagera,2016,urban,
mwanza,2016,urban,
mara,2016,urban,
manyara,2016,urban,
njombe,2016,urban,
katavi,2016,urban,
simiyu,2016,urban,
geita,2016,urban,
