geo,year,genebank_resources_type,genebank_plant_stock_count,datasource
zaf,2015,veg_ornamental_plant,10 295,anpas2016
zaf,2015,small_grains,18 404,anpas2016
zaf,2015,tropical_subtropical_crops,2 283,anpas2016
zaf,2015,deciduous_fruit,4 662,anpas2016
zaf,2015,plant_total,35 604,anpas2016
zaf,2016,veg_ornamental_plant,11 045,anpas2016
zaf,2016,small_grains,18 977,anpas2016
zaf,2016,tropical_subtropical_crops,2 283,anpas2016
zaf,2016,deciduous_fruit,4 576,anpas2016
zaf,2016,total,36 881,anpas2016
zaf,2015,sheep,6,anpas2016
zaf,2015,goat,2,anpas2016
zaf,2015,chicken,3,anpas2016
zaf,2015,cattle,2,anpas2016
zaf,2015,pig,1,anpas2016
zaf,2015,animal_total,14,anpas2016
zaf,2016,sheep,6,anpas2016
zaf,2016,goat,2,anpas2016
zaf,2016,chicken,4,anpas2016
zaf,2016,cattle,2,anpas2016
zaf,2016,pig,1,anpas2016
zaf,2016,animal_total,15,anpas2016
