"concept","concept_type","name","sdg_indicator","description"
"name","string",,,
"sdg_indicator","string","SDG Indicator",,
"description","string",,,
"unit","measure",,,
"indicator_type","string",,,
"service_type","entity_domain",,,
"ecosystem_type","entity_domain",,,
"provider","string","Provider",,"Department or Institution resposible for the publication"
"geo","entity_domain","GEO",,"One of UN states"
"year","time","Year",,
"income","entity_domain",,,
"levels","entity_domain",,,
"service","entity_domain",,,
"prevalence","entity_domain",,,
"sampi_index","entity_domain",,,
"perceived_crime_trend","entity_domain",,,
"time_period","entity_domain","Time period in years","_3_3_1","Time period in years"
"datasource","entity_domain","Data source",,"Where the indicator value(s) was sourced from"
"age_group","entity_domain","Age groups",,"Age group dissagregations"
"province","entity_domain","The 9 South African Provinces and or the Republic","_17_18_1D","The 9 South African Provinces and/or the Republic"
"sex","entity_domain","Sex",,"Either male or female and total"
"mobile_network_type","entity_domain","Mobile Network types","_9_c_1D","Networks that support 3G LTE or 5G"
"ecosystem","entity_domain","Ecosystems",,"Terrestrial freshwater marine or coastal"
"biome_type","entity_domain","Biome types","_15_1_1D","Type of forest and woodland biome"
"prevalence_of_current_tobacco_use","measure","Prevalence of current tobacco use","3.A.1","Prevalence of current tobacco use"
"domestic_budget_funded_by_domestic_taxes","measure","Domestic budget funded by domestic taxes",,"Domestic budget funded by domestic taxes"
"area","entity_domain","Area",,"Name of area and measured in squared kilometers"
"forms_of_violence_by_age","entity_domain","Forms of violence by age",,"Forms of violence experienced by women such as physical or sexual violence for those older than 18 years"
"forms_of_violence","entity_domain","Forms of violence",,"Forms of violence experienced by women such as physical or sexual violence for those older than 18 years"
"population_group","entity_domain","Population Group",,"Population groups that are either: Black/Coloured/Indian/Asian/White"
"field_of_study","entity_domain","field of study",,"University field of study at graduation"
"disability","string","Disability",,"Whether a person is classified disabled or not disabled"
"geotype","entity_domain","Geotype",,"Geography type such as urban or non-urban  and total"
"currency","entity_domain","Currency",,"Currency unit used"
"type_solar_use","entity_domain","Type of use for solar energy",,"Type of use for solar energy such as cooking/lighting/space heating/water heating"
