geo,year,geo,incidence_rape_reported_to_police_per_100000,datasource
zaf,2015,wc,80.6,crimestats2016
zaf,2015,ec,122.4,crimestats2016
zaf,2015,nc,100.7,crimestats2016
zaf,2015,fs,117.2,crimestats2016
zaf,2015,kzn,69.3,crimestats2016
zaf,2015,nw,102.5,crimestats2016
zaf,2015,gp,59.6,crimestats2016
zaf,2015,mp,70.8,crimestats2016
zaf,2015,lm,66.7,crimestats2016
zaf,2015,zaf,79.8,crimestats2016
zaf,2016,wc,76.5,crimestats2016
zaf,2016,ec,114.7,crimestats2016
zaf,2016,nc,108.4,crimestats2016
zaf,2016,fs,108.2,crimestats2016
zaf,2016,kzn,67.4,crimestats2016
zaf,2016,nw,91.8,crimestats2016
zaf,2016,gp,55.8,crimestats2016
zaf,2016,mp,66.0,crimestats2016
zaf,2016,lm,66.0,crimestats2016
zaf,2016,zaf,75.5,crimestats2016
zaf,2017,wc,74.5,crimestats2016
zaf,2017,ec,105.3,crimestats2016
zaf,2017,nc,95.0,crimestats2016
zaf,2017,fs,94.8,crimestats2016
zaf,2017,kzn,64.1,crimestats2016
zaf,2017,nw,95.0,crimestats2016
zaf,2017,gp,55.0,crimestats2016
zaf,2017,mp,61.7,crimestats2016
zaf,2017,lm,58.0,crimestats2016
zaf,2017,zaf,71.3,crimestats2016
zaf,2018,wc,72.5,crimestats2016
zaf,2018,ec,104.9,crimestats2016
zaf,2018,nc,90.3,crimestats2016
zaf,2018,fs,89.6,crimestats2016
zaf,2018,kzn,65.2,crimestats2016
zaf,2018,nw,89.8,crimestats2016
zaf,2018,gp,56.1,crimestats2016
zaf,2018,mp,60.8,crimestats2016
zaf,2018,lm,56.9,crimestats2016
zaf,2018,zaf,70.5,crimestats2016
