geo,year,occupation,sex,currency,median_monthly_earnings_employees,datasource
zaf,2010,manager,male,zar,12000,qlfs2016
zaf,2010,professional,male,zar,12000,qlfs2016
zaf,2010,technician,male,zar,8000,qlfs2016
zaf,2010,clerk,male,zar,5000,qlfs2016
zaf,2010,sales,male,zar,2800,qlfs2016
zaf,2010,skilled_agriculture,male,zar,2500,qlfs2016
zaf,2010,craft,male,zar,3000,qlfs2016
zaf,2010,operator,male,zar,3033,qlfs2016
zaf,2010,elementary,male,zar,1700,qlfs2016
zaf,2010,domestic_worker,male,zar,1000,qlfs2016
zaf,2010,manager,female,zar,9000,qlfs2016
zaf,2010,professional,female,zar,9900,qlfs2016
zaf,2010,technician,female,zar,7500,qlfs2016
zaf,2010,clerk,female,zar,4000,qlfs2016
zaf,2010,sales,female,zar,2000,qlfs2016
zaf,2010,skilled_agriculture,female,zar,1560,qlfs2016
zaf,2010,craft,female,zar,2067,qlfs2016
zaf,2010,operator,female,zar,1950,qlfs2016
zaf,2010,elementary,female,zar,1500,qlfs2016
zaf,2010,domestic_worker,female,zar,1000,qlfs2016
zaf,2017,manager,male,zar,19000,qlfs2016
zaf,2017,professional,male,zar,20000,qlfs2016
zaf,2017,technician,male,zar,7000,qlfs2016
zaf,2017,clerk,male,zar,6000,qlfs2016
zaf,2017,sales,male,zar,3900,qlfs2016
zaf,2017,skilled_agriculture,male,zar,2200,qlfs2016
zaf,2017,craft,male,zar,4333,qlfs2016
zaf,2017,operator,male,zar,4116,qlfs2016
zaf,2017,elementary,male,zar,2700,qlfs2016
zaf,2017,domestic_worker,male,zar,1700,qlfs2016
zaf,2017,manager,female,zar,17000,qlfs2016
zaf,2017,professional,female,zar,18600,qlfs2016
zaf,2017,technician,female,zar,6000,qlfs2016
zaf,2017,clerk,female,zar,5000,qlfs2016
zaf,2017,sales,female,zar,2900,qlfs2016
zaf,2017,skilled_agriculture,female,zar,1200,qlfs2016
zaf,2017,craft,female,zar,3100,qlfs2016
zaf,2017,operator,female,zar,3250,qlfs2016
zaf,2016,elementary,female,zar,2166,qlfs2016
zaf,2016,domestic_worker,female,zar,1733,qlfs2016
