geo,year,genebank_resources_type,number_of_plant_and_animal_genetic_resources,datasource
zaf,2015,veg_ornamental_plant,10295,anpas2017
zaf,2015,small_grains,18404,anpas2017
zaf,2015,tropical_subtropical_crops,2283,anpas2017
zaf,2015,deciduous_fruit,4662,anpas2017
zaf,2015,plant_total,35604,anpas2017
zaf,2016,veg_ornamental_plant,11045,anpas2017
zaf,2016,small_grains,18977,anpas2017
zaf,2016,tropical_subtropical_crops,2283,anpas2017
zaf,2016,deciduous_fruit,4576,anpas2017
zaf,2016,plant_total,36881,anpas2017
zaf,2017,veg_ornamental_plant,11045,anpas2017
zaf,2017,small_grains,19499,anpas2017
zaf,2017,tropical_subtropical_crops,2283,anpas2017
zaf,2017,deciduous_fruit,3978,anpas2017
zaf,2017,plant_total,36841,anpas2017
zaf,2015,sheep,6,anpas2017
zaf,2015,goat,2,anpas2017
zaf,2015,chicken,3,anpas2017
zaf,2015,cattle,2,anpas2017
zaf,2015,pig,1,anpas2017
zaf,2015,animal_total,14,anpas2017
zaf,2016,sheep,6,anpas2017
zaf,2016,goat,2,anpas2017
zaf,2016,chicken,4,anpas2017
zaf,2016,cattle,2,anpas2017
zaf,2016,pig,1,anpas2017
zaf,2016,animal_total,15,anpas2017
zaf,2017,sheep,6,anpas2017
zaf,2017,goat,2,anpas2017
zaf,2017,chicken,4,anpas2017
zaf,2017,cattle,2,anpas2017
zaf,2017,pig,1,anpas2017
zaf,2017,animal_total,15,anpas2017
