geo,year,sex,age_group,participation_rate_in_education_and_training_15_24,datasource
zaf,2015,male,15_24,10.9,ghs15_17
zaf,2016,male,15_24,11.5,ghs15_17
zaf,2017,male,15_24,12.0,ghs15_17
zaf,2015,female,15_24,14.1,ghs15_17
zaf,2016,female,15_24,16.0,ghs15_17
zaf,2017,female,15_24,15.2,ghs15_17
zaf,2015,disabled,15_24,10.1,ghs15_17
zaf,2016,disabled,15_24,12.6,ghs15_17
zaf,2017,disabled,15_24,10.3,ghs15_17
zaf,2015,not_disabled,15_24,12.6,ghs15_17
zaf,2016,not_disabled,15_24,13.8,ghs15_17
zaf,2017,not_disabled,15_24,13.6,ghs15_17
