geo,year,age_group,field_of_study,percentage_graduates_age_and_field_of_study,datasource
zaf,2016,15_34,agric,2.40,cs2016
zaf,2016,35_64,agric,2.34,cs2016
zaf,2016,15_64,agric,2.38,cs2016
zaf,2016,15_34,arch,1.71,cs2016
zaf,2016,35_64,arch,1.70,cs2016
zaf,2016,15_64,arch,1.71,cs2016
zaf,2016,15_34,arts,1.22,cs2016
zaf,2016,35_64,arts,1.04,cs2016
zaf,2016,15_64,arts,1.15,cs2016
zaf,2016,15_34,bus,18.49,cs2016
zaf,2016,35_64,bus,17.43,cs2016
zaf,2016,15_64,bus,18.08,cs2016
zaf,2016,15_34,commu,2.42,cs2016
zaf,2016,35_64,commu,2.06,cs2016
zaf,2016,15_64,commu,2.28,cs2016
zaf,2016,15_34,comp,4.96,cs2016
zaf,2016,35_64,comp,3.93,cs2016
zaf,2016,15_64,comp,4.56,cs2016
zaf,2016,15_34,edu,20.25,cs2016
zaf,2016,35_64,edu,25.26,cs2016
zaf,2016,15_64,edu,22.20,cs2016
zaf,2016,15_34,engi,9.03,cs2016
zaf,2016,35_64,engi,8.23,cs2016
zaf,2016,15_64,engi,8.72,cs2016
zaf,2016,15_34,health,8.95,cs2016
zaf,2016,35_64,health,9.61,cs2016
zaf,2016,15_64,health,9.21,cs2016
zaf,2016,15_34,fam,0.49,cs2016
zaf,2016,35_64,fam,0.40,cs2016
zaf,2016,15_64,fam,0.46,cs2016
zaf,2016,15_34,lang,0.72,cs2016
zaf,2016,35_64,lang,0.76,cs2016
zaf,2016,15_64,lang,0.74,cs2016
zaf,2016,15_34,law,4.41,cs2016
zaf,2016,35_64,law,4.45,cs2016
zaf,2016,15_64,law,4.43,cs2016
zaf,2016,15_34,life,0.87,cs2016
zaf,2016,35_64,life,0.73,cs2016
zaf,2016,15_64,life,0.82,cs2016
zaf,2016,15_34,phy,1.04,cs2016
zaf,2016,35_64,phy,0.95,cs2016
zaf,2016,15_64,phy,1.00,cs2016
zaf,2016,15_34,math,0.75,cs2016
zaf,2016,35_64,math,0.73,cs2016
zaf,2016,15_64,math,0.74,cs2016
zaf,2016,15_34,mili,0.28,cs2016
zaf,2016,35_64,mili,0.35,cs2016
zaf,2016,15_64,mili,0.31,cs2016
zaf,2016,15_34,phil,0.86,cs2016
zaf,2016,35_64,phil,1.00,cs2016
zaf,2016,15_64,phil,0.92,cs2016
zaf,2016,15_34,psy,2.14,cs2016
zaf,2016,35_64,psy,1.94,cs2016
zaf,2016,15_64,psy,2.06,cs2016
zaf,2016,15_34,pub,3.62,cs2016
zaf,2016,35_64,pub,3.34,cs2016
zaf,2016,15_64,pub,3.51,cs2016
zaf,2016,15_34,soc,2.28,cs2016
zaf,2016,35_64,soc,2.10,cs2016
zaf,2016,15_64,soc,2.21,cs2016
zaf,2016,15_34,other,13.11,cs2016
zaf,2016,35_64,other,11.62,cs2016
zaf,2016,15_64,other,12.53,cs2016
zaf,2016,15_34,total,100.00,cs2016
zaf,2016,35_64,total,100.00,cs2016
zaf,2016,15_64,total,100.00,cs2016
