area,year,maternal_mortality_rate
tanzania,2012,432
mainland,2012,434
dodoma,2012,512
arusha,2012,585
kilimanjaro,2012,283
tanga,2012,593
morogoro,2012,415
pwani,2012,687
dar_es_salaam,2012,499
lindi,2012,456
mtwara,2012,579
ruvuma,2012,365
iringa,2012,292
mbeya,2012,776
singida,2012,468
tabora,2012,330
rukwa,2012,360
kigoma,2012,860
shinyanga,2012,248
kagera,2012,391
mwanza,2012,305
mara,2012,362
manyara,2012,376
njombe,2012,788
katavi,2012,670
simiyu,2012,187
geita,2012,289
tanzania,2010,454
tanzania,2016,556
mainland,2010,454
mainland,2016,434
