area,year,women_age_15_49_who_have_experienced_sexual_violence
mainland,2016,8.9
dodoma,2016,6.6
arusha,2016,4.4
kilimanjaro,2016,6.5
tanga,2016,3.2
morogoro,2016,6.1
pwani,2016,2.9
dar_es_salaam,2016,6.7
lindi,2016,7.1
mtwara,2016,6.7
ruvuma,2016,6.1
iringa,2016,5.6
mbeya,2016,11.7
singida,2016,4.7
tabora,2016,14.2
rukwa,2016,15.7
kigoma,2016,14.1
shinyanga,2016,17.8
kagera,2016,7.8
mwanza,2016,10.1
mara,2016,14.2
manyara,2016,7.8
njombe,2016,10.9
katavi,2016,13.5
simiyu,2016,6.9
geita,2016,12.9
