sex,year,adolscent_birth_rate
mainland,2016,27.3
dodoma,2016,38.6
arusha,2016,14.9
kilimanjaro,2016,5.5
tanga,2016,20.9
morogoro,2016,38.5
pwani,2016,30
dar_es_salaam,2016,11.9
lindi,2016,27.6
mtwara,2016,26.1
ruvuma,2016,32
iringa,2016,20
mbeya,2016,33
singida,2016,29.7
tabora,2016,42.6
rukwa,2016,29.2
kigoma,2016,32
shinyanga,2016,33.5
kagera,2016,14.5
mwanza,2016,28.4
mara,2016,37.4
manyara,2016,25.5
njombe,2016,19.7
katavi,2016,45.1
simiyu,2016,30.3
geita,2016,29.7
