area,year,early_learning_gross_enrolment_ratio
mainland,2011,94
mainland,2012,92
mainland,2013,89.7
mainland,2014,84
mainland,2016,85.6
dodoma,2011,88.3
dodoma,2012,88.1
dodoma,2013,84.6
dodoma,2014,85
dodoma,2016,79.2
arusha,2011,95.2
arusha,2012,91.2
arusha,2013,92.8
arusha,2014,91
arusha,2016,79.2
kilimanjaro,2011,90
kilimanjaro,2012,85.2
kilimanjaro,2013,90.2
kilimanjaro,2014,78
kilimanjaro,2016,77.5
tanga,2011,97.6
tanga,2012,99.5
tanga,2013,99.3
tanga,2014,78
tanga,2016,90.1
morogoro,2011,95.9
morogoro,2012,93.4
morogoro,2013,87.7
morogoro,2014,79
morogoro,2016,86.7
pwani,2011,98.2
pwani,2012,94.8
pwani,2013,99.6
pwani,2014,98
pwani,2016,99.8
dar_es_salaam,2011,91.5
dar_es_salaam,2012,87.1
dar_es_salaam,2013,73.5
dar_es_salaam,2014,74.2
dar_es_salaam,2016,76.6
lindi,2011,93.6
lindi,2012,97.5
lindi,2013,95.8
lindi,2014,91
lindi,2016,91.7
mtwara,2011,97.8
mtwara,2012,98.9
mtwara,2013,97.9
mtwara,2014,91
mtwara,2016,95.5
ruvuma,2011,94.3
ruvuma,2012,99.7
ruvuma,2013,95.5
ruvuma,2014,83
ruvuma,2016,89
iringa,2011,96.5
iringa,2012,95.6
iringa,2013,99.7
iringa,2014,100
iringa,2016,93.9
mbeya,2011,97.4
mbeya,2012,99.8
mbeya,2013,95.1
mbeya,2014,87
mbeya,2016,89.2
singida,2011,95.6
singida,2012,89.6
singida,2013,88.8
singida,2014,77
singida,2016,83.5
tabora,2011,91.6
tabora,2012,87.8
tabora,2013,83
tabora,2014,75
tabora,2016,76.1
rukwa,2011,90.2
rukwa,2012,84.9
rukwa,2013,91.1
rukwa,2014,80
rukwa,2016,84.5
kigoma,2011,88.8
kigoma,2012,81.4
kigoma,2013,72.9
kigoma,2014,71
kigoma,2016,72.5
shinyanga,2011,90.4
shinyanga,2012,85.9
shinyanga,2013,92.9
shinyanga,2014,81
shinyanga,2016,87.7
kagera,2011,95.9
kagera,2012,92.7
kagera,2013,83.8
kagera,2014,79
kagera,2016,76.1
mwanza,2011,99.3
mwanza,2012,99.7
mwanza,2013,98.6
mwanza,2014,97
mwanza,2016,99.2
mara,2011,98
mara,2012,99.6
mara,2013,99.6
mara,2014,98
mara,2016,99.7
manyara,2011,87.3
manyara,2012,80.9
manyara,2013,79.8
manyara,2014,71
manyara,2016,74.5
njombe,2011,
njombe,2012,
njombe,2013,99.2
njombe,2014,81
njombe,2016,99.1
katavi,2011,
katavi,2012,
katavi,2013,73.2
katavi,2014,73
katavi,2016,80.2
simiyu,2011,
simiyu,2012,
simiyu,2013,91.1
simiyu,2014,83
simiyu,2016,87.6
geita,2011,
geita,2012,
geita,2013,99.5
geita,2014,100
geita,2016,99.9
