area,year,sex,gross_enrolment_ratio_in_lower_secondary_schools
mainland,2010,female,39.3
mainland,2010,male,47.8
mainland,2010,both_sexes,43.6
mainland,2011,female,47.2
mainland,2011,male,56.1
mainland,2011,both_sexes,51.7
mainland,2012,female,50.2
mainland,2012,male,55.6
mainland,2012,both_sexes,52.9
mainland,2013,female,48.8
mainland,2013,male,54.1
mainland,2013,both_sexes,51.4
mainland,2014,female,51.9
mainland,2014,male,52.2
mainland,2014,both_sexes,52
mainland,2015,female,48
mainland,2015,male,48.2
mainland,2015,both_sexes,48.1
mainland,2016,female,43.3
mainland,2016,male,49.1
mainland,2016,both_sexes,42.6
