area,year,health_worker_density
mainland,2011,0.7
dodoma,2011,0.8
arusha,2011,0.5
kilimanjaro,2011,1.4
tanga,2011,0.8
morogoro,2011,0.8
pwani,2011,0.9
dar_es_salaam,2011,1.9
lindi,2011,0.8
mtwara,2011,0.3
ruvuma,2011,0.6
iringa,2011,0.7
mbeya,2011,1.0
singida,2011,0.5
tabora,2011,0.2
rukwa,2011,0.1
kigoma,2011,0.3
shinyanga,2011,0.2
kagera,2011,0.3
mwanza,2011,0.4
mara,2011,0.3
manyara,2011,0.4
mainland,2012,
dodoma,2012,1.9
arusha,2012,2.0
kilimanjaro,2012,3.3
tanga,2012,2.8
morogoro,2012,2.7
pwani,2012,4.0
dar_es_salaam,2012,2.1
lindi,2012,2.6
mtwara,2012,1.6
ruvuma,2012,2.1
iringa,2012,2.4
mbeya,2012,1.9
singida,2012,1.4
tabora,2012,0.8
rukwa,2012,1.2
kigoma,2012,0.9
shinyanga,2012,1.0
kagera,2012,1.1
mwanza,2012,1.2
mara,2012,1.4
manyara,2012,1.3
mainland,2013,0.9
dodoma,2013,0.8
arusha,2013,0.9
kilimanjaro,2013,1.6
tanga,2013,0.8
morogoro,2013,1.0
pwani,2013,1.3
dar_es_salaam,2013,2.3
lindi,2013,1.0
mtwara,2013,0.8
ruvuma,2013,0.7
iringa,2013,1.1
mbeya,2013,1.3
singida,2013,0.4
tabora,2013,0.3
rukwa,2013,0.5
kigoma,2013,0.3
shinyanga,2013,0.4
kagera,2013,0.4
mwanza,2013,0.7
mara,2013,0.5
manyara,2013,0.6
njombe,2013,0.8
katavi,2013,0.4
simiyu,2013,0.5
geita,2013,0.3
