area,year,sex,primary_education_pupils_to_teacher_ratio
mainland,2010,total,51
ruvuma,2010,total,48
iringa,2010,total,45
mbeya,2010,total,51
singida,2010,total,53
arusha,2010,total,42
tabora,2010,total,64
rukwa,2010,total,63
kigoma,2010,total,59
kagera,2010,total,58
mwanza,2010,total,57
mara,2010,total,58
manyara,2010,total,49
kilimanjaro,2010,total,34
shinyanga,2010,total,62
tanga,2010,total,50
dodoma,2010,total,53
morogoro,2010,total,46
pwani,2010,total,41
dar_es_salaam,2010,total,37
lindi,2010,total,55
mtwara,2010,total,51
mainland,2011,total,48
ruvuma,2011,total,47
iringa,2011,total,45
mbeya,2011,total,48
singida,2011,total,54
arusha,2011,total,41
tabora,2011,total,59
rukwa,2011,total,57
kigoma,2011,total,56
kagera,2011,total,48
mwanza,2011,total,56
mara,2011,total,54
manyara,2011,total,45
kilimanjaro,2011,total,34
shinyanga,2011,total,54
tanga,2011,total,45
dodoma,2011,total,50
morogoro,2011,total,43
pwani,2011,total,41
dar_es_salaam,2011,total,37
lindi,2011,total,47
mtwara,2011,total,49
mainland,2012,total,46
ruvuma,2012,total,48
iringa,2012,total,42
mbeya,2012,total,45
singida,2012,total,70
arusha,2012,total,37
tabora,2012,total,56
rukwa,2012,total,49
kigoma,2012,total,50
kagera,2012,total,48
mwanza,2012,total,52
mara,2012,total,50
manyara,2012,total,44
kilimanjaro,2012,total,32
shinyanga,2012,total,49
tanga,2012,total,46
dodoma,2012,total,47
morogoro,2012,total,41
pwani,2012,total,40
dar_es_salaam,2012,total,35
lindi,2012,total,49
mtwara,2012,total,46
mainland,2013,total,43
arusha,2013,total,35
dar_es_salaam,2013,total,31
dodoma,2013,total,46
geita,2013,total,59
iringa,2013,total,41
kagera,2013,total,47
katavi,2013,total,35
kigoma,2013,total,48
kilimanjaro,2013,total,32
lindi,2013,total,46
manyara,2013,total,42
mara,2013,total,50
mbeya,2013,total,42
morogoro,2013,total,40
mtwara,2013,total,44
mwanza,2013,total,48
njombe,2013,total,43
pwani,2013,total,39
rukwa,2013,total,49
ruvuma,2013,total,43
shinyanga,2013,total,45
simiyu,2013,total,50
singida,2013,total,46
tabora,2013,total,52
tanga,2013,total,44
mainland,2014,total,43
arusha,2014,total,33
dar_es_salaam,2014,total,33
dodoma,2014,total,43
geita,2014,total,52
iringa,2014,total,37
kagera,2014,total,46
katavi,2014,total,40
kigoma,2014,total,46
kilimanjaro,2014,total,29
lindi,2014,total,41
manyara,2014,total,38
mara,2014,total,54
mbeya,2014,total,40
morogoro,2014,total,41
mtwara,2014,total,42
mwanza,2014,total,44
njombe,2014,total,36
pwani,2014,total,41
rukwa,2014,total,46
ruvuma,2014,total,40
shinyanga,2014,total,40
simiyu,2014,total,48
singida,2014,total,45
tabora,2014,total,56
tanga,2014,total,41
mainland,2016,total,42
arusha,2016,total,31
dar_es_salaam,2016,total,33
dodoma,2016,total,44
geita,2016,total,47
iringa,2016,total,36
kagera,2016,total,42
katavi,2016,total,51
kigoma,2016,total,51
kilimanjaro,2016,total,29
lindi,2016,total,41
manyara,2016,total,39
mara,2016,total,49
mbeya,2016,total,41
morogoro,2016,total,40
mtwara,2016,total,43
mwanza,2016,total,46
njombe,2016,total,38
pwani,2016,total,38
rukwa,2016,total,50
ruvuma,2016,total,42
shinyanga,2016,total,45
simiyu,2016,total,47
singida,2016,total,48
songwe,2016,total,46
tabora,2016,total,44
tanga,2016,total,41
