geo,year,geo,households_using_the_internet,datasource
zaf,2013,zaf,40.9,ghs2016
zaf,2013,wc,54.4,ghs2016
zaf,2013,ec,30.2,ghs2016
zaf,2013,nc,37.3,ghs2016
zaf,2013,fs,39.7,ghs2016
zaf,2013,kzn,32.3,ghs2016
zaf,2013,nw,35.3,ghs2016
zaf,2013,gp,54.3,ghs2016
zaf,2013,mp,37.8,ghs2016
zaf,2013,lm,21.9,ghs2016
zaf,2014,zaf,48.7,ghs2016
zaf,2014,wc,62.1,ghs2016
zaf,2014,ec,37.4,ghs2016
zaf,2014,nc,47.7,ghs2016
zaf,2014,fs,48.7,ghs2016
zaf,2014,kzn,40.5,ghs2016
zaf,2014,nw,42.4,ghs2016
zaf,2014,gp,59.9,ghs2016
zaf,2014,mp,48.1,ghs2016
zaf,2014,lm,32.6,ghs2016
zaf,2015,zaf,53.5,ghs2016
zaf,2015,wc,63.3,ghs2016
zaf,2015,ec,46.0,ghs2016
zaf,2015,nc,49.0,ghs2016
zaf,2015,fs,50.8,ghs2016
zaf,2015,kzn,42.3,ghs2016
zaf,2015,nw,47.5,ghs2016
zaf,2015,gp,65.7,ghs2016
zaf,2015,mp,55.7,ghs2016
zaf,2015,lm,39.3,ghs2016
zaf,2016,zaf,59.3,ghs2016
zaf,2016,wc,68.5,ghs2016
zaf,2016,ec,49.2,ghs2016
zaf,2016,nc,54.9,ghs2016
zaf,2016,fs,56.1,ghs2016
zaf,2016,kzn,51.2,ghs2016
zaf,2016,nw,53.7,ghs2016
zaf,2016,gp,72.2,ghs2016
zaf,2016,mp,58.1,ghs2016
zaf,2016,lm,42.4,ghs2016
