geo,year,geo,incidence_sexual_assault_per_100000,datasource
zaf,2015,wc,26.7,crimestats2016
zaf,2015,ec,9.8,crimestats2016
zaf,2015,nc,19.4,crimestats2016
zaf,2015,fs,15.7,crimestats2016
zaf,2015,kzn,10.6,crimestats2016
zaf,2015,nw,8.4,crimestats2016
zaf,2015,gp,9.2,crimestats2016
zaf,2015,mp,5.6,crimestats2016
zaf,2015,lm,4.4,crimestats2016
zaf,2015,zaf,11.2,crimestats2016
zaf,2016,wc,25.1,crimestats2016
zaf,2016,ec,11.5,crimestats2016
zaf,2016,nc,20.2,crimestats2016
zaf,2016,fs,17.1,crimestats2016
zaf,2016,kzn,10.7,crimestats2016
zaf,2016,nw,8.2,crimestats2016
zaf,2016,gp,8.9,crimestats2016
zaf,2016,mp,5.7,crimestats2016
zaf,2016,lm,4.3,crimestats2016
zaf,2016,zaf,11.3,crimestats2016
