geo,year,occupation,sex,currency,median_monthly_earnings_employees,datasource
zaf,2015,manager,male,zar,20000,qlfs2016
zaf,2015,professional,male,zar,21000,qlfs2016
zaf,2015,technician,male,zar,5500,qlfs2016
zaf,2015,clerk,male,zar,4800,qlfs2016
zaf,2015,sales,male,zar,3500,qlfs2016
zaf,2015,skilled_agriculture,male,zar,2500,qlfs2016
zaf,2015,craft,male,zar,3780,qlfs2016
zaf,2015,operator,male,zar,3600,qlfs2016
zaf,2015,elementary,male,zar,2400,qlfs2016
zaf,2015,domestic_worker,male,zar,1500,qlfs2016
zaf,2015,manager,female,zar,15000,qlfs2016
zaf,2015,professional,female,zar,17000,qlfs2016
zaf,2015,technician,female,zar,7000,qlfs2016
zaf,2015,clerk,female,zar,4333,qlfs2016
zaf,2015,sales,female,zar,2653,qlfs2016
zaf,2015,skilled_agriculture,female,zar,1213,qlfs2016
zaf,2015,craft,female,zar,2800,qlfs2016
zaf,2015,operator,female,zar,2790,qlfs2016
zaf,2015,elementary,female,zar,2000,qlfs2016
zaf,2015,domestic_worker,female,zar,1500,qlfs2016
zaf,2016,manager,male,zar,19000,qlfs2016
zaf,2016,professional,male,zar,20000,qlfs2016
zaf,2016,technician,male,zar,7500,qlfs2016
zaf,2016,clerk,male,zar,5430,qlfs2016
zaf,2016,sales,male,zar,3800,qlfs2016
zaf,2016,skilled_agriculture,male,zar,2200,qlfs2016
zaf,2016,craft,male,zar,3683,qlfs2016
zaf,2016,operator,male,zar,3900,qlfs2016
zaf,2016,elementary,male,zar,2600,qlfs2016
zaf,2016,domestic_worker,male,zar,1500,qlfs2016
zaf,2016,manager,female,zar,1700,qlfs2016
zaf,2016,professional,female,zar,18000,qlfs2016
zaf,2016,technician,female,zar,7000,qlfs2016
zaf,2016,clerk,female,zar,4500,qlfs2016
zaf,2016,sales,female,zar,2800,qlfs2016
zaf,2016,skilled_agriculture,female,zar,2000,qlfs2016
zaf,2016,craft,female,zar,3200,qlfs2016
zaf,2016,operator,female,zar,2800,qlfs2016
zaf,2016,elementary,female,zar,2080,qlfs2016
zaf,2016,domestic_worker,female,zar,1500,qlfs2016
