geo,year,percent_women_subject_to_physical_or_sexual_violence,age_group,forms_of_violence,datasource
zaf,2016,0.4,65,sexual_violence,sadhs2016
zaf,2016,1.0,55_64,sexual_violence,sadhs2016
zaf,2016,1.9,45_54,sexual_violence,sadhs2016
zaf,2016,2.7,35_44,sexual_violence,sadhs2016
zaf,2016,3.1,25_34,sexual_violence,sadhs2016
zaf,2016,3.2,18_24,sexual_violence,sadhs2016
zaf,2016,2.3,total_18,sexual_violence,sadhs2016
zaf,2016,10.3,18_24,physical_violence,sadhs2016
zaf,2016,8.6,35_44,physical_violence,sadhs2016
zaf,2016,9.8,25_34,physical_violence,sadhs2016
zaf,2016,5.8,45_54,physical_violence,sadhs2016
zaf,2016,6.1,55_64,physical_violence,sadhs2016
zaf,2016,1.6,65,physical_violence,sadhs2016
zaf,2016,7.7,total_18,physical_violence,sadhs2016
