datasource,name,description,provider
ies2015lc2015,Income and Expenditure Survey 2015 and Living Conditions Survey 2015,Income and Expenditure Survey and Living Conditions Survey,Statistics South Africa
ghs2013,General Household Survey for 2013,Annual General Household Survey for 2013,Statistics South Africa
ghs2014,General Household Survey for 2014,Annual General Household Survey for 2014,Statistics South Africa
ghs2015,General Household Survey for 2015,General Household Survey for 2015,Statistics South Africa
ghs2016,General Household Survey for 2016,General Household Survey for 2016,Statistics South Africa
ghs2017,General Household Survey for 2017,General Household Survey for 2017,Statistics South Africa
ghs2018,General Household Survey for 2018,Annual General Household Survey for  2018,Statistics South Africa
ene2017,ENE 2017,Estimates of National Expenditure for 2017,National Treasury
ies2015,Income and Expenditure Survey 2015,Income and Expenditure Survey,Statistics South Africa
socpen2016,SOCPEN 2016,,Department of Social Development
cs2016,Community Survey 2016,Community Survey 2016,Statistics South Africa
socpenpopestimates2016,SOCPEN and Mid-year population estimates_2016,SOCPEN and Mid-year population estimates_2016,Department of Social Development and Statistics South Africa
ene2015,ENE 2015,Estimates of National Expenditure for 2015,National Treasury
ene2016,ENE 2016,Estimates of National Expenditure for 2016,National Treasury
sanhanes2014,SANHANES,South African National Health and Nutrition Examination Survey (SANHANES-1)_2014,Human Science Research Council
sanhanes2016sadhs,SANHANES,South African National Health and Nutrition Examination Survey and SADHS,Human Science Research Council and Statistics South Africa
sadhs2016,South African Demographic Health Survey 2016,South African Demographic Health Survey 2016,Statistics South Africa
dhis2015,District Health Information System 2015,District Health Information System 2015,Statistics South Africa
dhis2016,District Health Information System 2016,District Health Information System 2016,Statistics South Africa
rms2015,Rapid Mortality Surveillance 2015,Rapid Mortality Surveillance 2015,Department of Health
anpas2016,Agricultural National Public Assets,Agricultural National Public Assets,Agricultural Research Council 
anpas2016,Agricultural National Public Assets,Agricultural National Public Assets,Agricultural Research Council 
dcsannualreports2016,Annual Reports 2016,Annual Reports 2015-2016,Department of Correctional Services
vocs2016,Victims of Crime Survey 2016,Victims of Crime Survey 2016,Statistics South Africa
crvs2014,Civil Registration and Vita Statistics,Civil Registration and Vita Statistics_2014,Statistics South Africa
crvs2016,Civil Registration and Vita Statistics,Civil Registration and Vita Statistics_2016,Statistics South
crvs2015,Civil Registration and Vita Statistics,Civil Registration and Vita Statistics_2015,Statistics South Africa
crvs2013,Civil Registration and Vita Statistics,Civil Registration and Vita Statistics_2013,Statistics South Africa
naneb2014,National Energy Balances,National Accounts 2014 & National Energy Balances,Statistics South Africa and  Department of Energy
naneb2013,national Energy Balances 2013,National Energy Balances 2013,Statistics South Africa and  Department of Energy
redis2016,REDIS 2016,Renewable Energy Data and Information Service (REDIS)_2016,Department of Energy
mype2016,Mid-year Population Estimates,Mid-year Population Estimates for 2016 based on Vital Statistics,Statistics South Africa
gdp2016,Gross Domestic Product for 2016,Gross Domestic Product for 2016 based on the System of National Accounts,Statistics South Africa
qlfs2016,Quarterly Labour Force Survey for 2016,Quarterly Labour Force Survey for 2016,Statistics South Africa
sayp2015,Survey of Activities of Young People for 2015,Survey of Activities of Young People for 2015,Statistics South Africa
umehluko2016,Management information system of fatal and non-fatal occupational injuries ,Management information system of fatal and non-fatal occupational injuries ,Department of Labour
tsa2015,Tourism Satellite Account,Toursim Satellite Accounts for 2015,Statistics South Africa
lts2016,South Africa Land Transport Survey,South Africa Land Transport Survey,Statistics South Africa
crimestats2016,Reported Crime Statistics for 2015/16,Reported Crime Statistics for 2015/16,South African Police Services
sayrbs2002,South African Youth Risk Behaviour Survey for the year 2002,South African Youth Risk Behaviour Survey for the year 2002,South African Medical Research Council (MRC)
sayrbs2008,South African Youth Risk Behaviour Survey for the year 2008,South African Youth Risk Behaviour Survey for the year 2008,South African Medical Research Council (MRC)
sayrbs2011,South African Youth Risk Behaviour Survey for the year 2011,South African Youth Risk Behaviour Survey for the year 2011,Human Sciences Research Council (HSRC)
