area,year,sex,life_expectancy_years
mainland,2012,both_sexes,61.7
mainland,2012,female,61.7
mainland,2012,male,59.7
dodoma,2012,both_sexes,64.3
dodoma,2012,female,64.3
dodoma,2012,male,60.8
arusha,2012,both_sexes,70.5
arusha,2012,female,70.5
arusha,2012,male,68.8
kilimanjaro,2012,both_sexes,67.3
kilimanjaro,2012,female,67.3
kilimanjaro,2012,male,66.3
tanga,2012,both_sexes,64.3
tanga,2012,female,64.3
tanga,2012,male,63.3
morogoro,2012,both_sexes,62.3
morogoro,2012,female,62.3
morogoro,2012,male,60.4
pwani,2012,both_sexes,60.2
pwani,2012,female,60.2
pwani,2012,male,59.7
dar_es_salaam,2012,both_sexes,59.4
dar_es_salaam,2012,female,59.4
dar_es_salaam,2012,male,57.2
lindi,2012,both_sexes,63.8
lindi,2012,female,63.8
lindi,2012,male,61.2
mtwara,2012,both_sexes,63.4
mtwara,2012,female,63.4
mtwara,2012,male,61.8
ruvuma,2012,both_sexes,60.2
ruvuma,2012,female,60.2
ruvuma,2012,male,59
iringa,2012,both_sexes,55.4
iringa,2012,female,55.4
iringa,2012,male,53.2
mbeya,2012,both_sexes,58.1
mbeya,2012,female,58.1
mbeya,2012,male,56.3
singida,2012,both_sexes,67
singida,2012,female,67
singida,2012,male,65.7
tabora,2012,both_sexes,60.7
tabora,2012,female,60.7
tabora,2012,male,58.1
rukwa,2012,both_sexes,58.3
rukwa,2012,female,58.3
rukwa,2012,male,55.9
kigoma,2012,both_sexes,62.1
kigoma,2012,female,62.1
kigoma,2012,male,60.4
shinyanga,2012,both_sexes,59.6
shinyanga,2012,female,59.6
shinyanga,2012,male,57
kagera,2012,both_sexes,57.5
kagera,2012,female,57.5
kagera,2012,male,55.5
mwanza,2012,both_sexes,62.4
mwanza,2012,female,62.4
mwanza,2012,male,60.3
mara,2012,both_sexes,60.8
mara,2012,female,60.8
mara,2012,male,58.9
manyara,2012,both_sexes,68.1
manyara,2012,female,68.1
manyara,2012,male,66.8
njombe,2012,both_sexes,52.8
njombe,2012,female,52.8
njombe,2012,male,49.3
katavi,2012,both_sexes,57.3
katavi,2012,female,57.3
katavi,2012,male,53.9
simiyu,2012,both_sexes,64.6
simiyu,2012,female,64.6
simiyu,2012,male,63.2
geita,2012,both_sexes,63.2
geita,2012,female,63.2
geita,2012,male,61.6
