area,year,sex,primary_net_enrolment_ratio
mainland,2010,female,95.6
mainland,2010,male,95.2
mainland,2010,both_sexes,95.4
dodoma,2010,female,95.6
arusha,2010,female,98.5
kilimanjaro,2010,female,93.3
tanga,2010,female,100.0
morogoro,2010,female,99.0
pwani,2010,female,99.6
dar_es_salaam,2010,female,91.8
lindi,2010,female,99.7
mtwara,2010,female,97.4
ruvuma,2010,female,98.7
iringa,2010,female,99.9
mbeya,2010,female,96.9
singida,2010,female,94.4
tabora,2010,female,87.8
rukwa,2010,female,91.3
kigoma,2010,female,90.2
shinyanga,2010,female,94.2
kagera,2010,female,96.9
mwanza,2010,female,98.0
mara,2010,female,97.2
manyara,2010,female,91.9
dodoma,2010,male,89.5
arusha,2010,male,95.8
kilimanjaro,2010,male,92.6
tanga,2010,male,99.7
morogoro,2010,male,97.7
pwani,2010,male,99.1
dar_es_salaam,2010,male,93.4
lindi,2010,male,98.9
mtwara,2010,male,98.1
ruvuma,2010,male,97.1
iringa,2010,male,98.9
mbeya,2010,male,98.4
singida,2010,male,92.0
tabora,2010,male,89.5
rukwa,2010,male,95.4
kigoma,2010,male,89.6
shinyanga,2010,male,92.5
kagera,2010,male,97.1
mwanza,2010,male,99.2
mara,2010,male,97.0
manyara,2010,male,90.4
dodoma,2010,both_sexes,92.5
arusha,2010,both_sexes,97.1
kilimanjaro,2010,both_sexes,93.0
tanga,2010,both_sexes,99.8
morogoro,2010,both_sexes,98.4
pwani,2010,both_sexes,99.4
dar_es_salaam,2010,both_sexes,92.6
lindi,2010,both_sexes,99.3
mtwara,2010,both_sexes,97.7
ruvuma,2010,both_sexes,97.9
iringa,2010,both_sexes,99.4
mbeya,2010,both_sexes,97.6
singida,2010,both_sexes,93.2
tabora,2010,both_sexes,88.7
rukwa,2010,both_sexes,93.3
kigoma,2010,both_sexes,89.9
shinyanga,2010,both_sexes,93.4
kagera,2010,both_sexes,97.0
mwanza,2010,both_sexes,98.6
mara,2010,both_sexes,97.1
manyara,2010,both_sexes,91.1
mainland,2011,female,94.3
mainland,2011,male,93.7
mainland,2011,both_sexes,94.0
dodoma,2011,female,91.5
arusha,2011,female,94.8
kilimanjaro,2011,female,89.4
tanga,2011,female,97.4
morogoro,2011,female,97.4
pwani,2011,female,98.8
dar_es_salaam,2011,female,89.4
lindi,2011,female,94.6
mtwara,2011,female,97.8
ruvuma,2011,female,94.7
iringa,2011,female,97.3
mbeya,2011,female,97.5
singida,2011,female,95.8
tabora,2011,female,91.6
rukwa,2011,female,89.6
kigoma,2011,female,88.5
shinyanga,2011,female,91.8
kagera,2011,female,96.5
mwanza,2011,female,99.0
mara,2011,female,97.9
manyara,2011,female,88.0
dodoma,2011,male,85.1
arusha,2011,male,95.7
kilimanjaro,2011,male,90.5
tanga,2011,male,97.8
morogoro,2011,male,94.4
pwani,2011,male,97.7
dar_es_salaam,2011,male,93.8
lindi,2011,male,92.5
mtwara,2011,male,97.7
ruvuma,2011,male,93.8
iringa,2011,male,95.7
mbeya,2011,male,97.2
singida,2011,male,95.4
tabora,2011,male,91.7
rukwa,2011,male,90.9
kigoma,2011,male,89.1
shinyanga,2011,male,88.9
kagera,2011,male,95.4
mwanza,2011,male,99.5
mara,2011,male,98.2
manyara,2011,male,86.8
dodoma,2011,both_sexes,88.3
arusha,2011,both_sexes,95.2
kilimanjaro,2011,both_sexes,90.0
tanga,2011,both_sexes,97.6
morogoro,2011,both_sexes,95.9
pwani,2011,both_sexes,98.2
dar_es_salaam,2011,both_sexes,91.5
lindi,2011,both_sexes,93.6
mtwara,2011,both_sexes,97.8
ruvuma,2011,both_sexes,94.3
iringa,2011,both_sexes,96.5
mbeya,2011,both_sexes,97.4
singida,2011,both_sexes,95.6
tabora,2011,both_sexes,91.6
rukwa,2011,both_sexes,90.2
kigoma,2011,both_sexes,88.8
shinyanga,2011,both_sexes,90.4
kagera,2011,both_sexes,95.9
mwanza,2011,both_sexes,99.3
mara,2011,both_sexes,98.0
manyara,2011,both_sexes,87.3
mainland,2012,female,92.5
mainland,2012,male,91.4
mainland,2012,both_sexes,92.0
dodoma,2012,female,92.1
arusha,2012,female,90.5
kilimanjaro,2012,female,85.8
tanga,2012,female,99.5
morogoro,2012,female,95.4
pwani,2012,female,94.7
dar_es_salaam,2012,female,85.6
lindi,2012,female,98.7
mtwara,2012,female,98.9
ruvuma,2012,female,99.6
iringa,2012,female,96.8
mbeya,2012,female,99.8
singida,2012,female,91.1
tabora,2012,female,87.2
rukwa,2012,female,84.6
