area,year,primary_schools_with_electricity_pecent
mainland,2013,13
arusha,2013,21.8
dar_es_salaam,2013,56.2
dodoma,2013,10.9
geita,2013,1.2
iringa,2013,16.2
kagera,2013,8.4
katavi,2013,0
kigoma,2013,0.8
kilimanjaro,2013,22.9
lindi,2013,5.3
manyara,2013,10.6
mara,2013,8.2
mbeya,2013,6.1
morogoro,2013,14.5
mtwara,2013,5.6
mwanza,2013,13.7
njombe,2013,10.8
pwani,2013,9.5
rukwa,2013,5.7
ruvuma,2013,1.5
shinyanga,2013,7.9
simiyu,2013,4.1
singida,2013,8.9
tabora,2013,4.3
tanga,2013,9
mainland,2014,11.3
arusha,2014,25.5
dar_es_salaam,2014,58.8
dodoma,2014,10.5
geita,2014,1.2
iringa,2014,17.8
kagera,2014,7.1
katavi,2014,1.2
kigoma,2014,1.4
kilimanjaro,2014,23.8
lindi,2014,5.3
manyara,2014,10.6
mara,2014,8.5
mbeya,2014,8.5
morogoro,2014,12.7
mtwara,2014,4
mwanza,2014,14.6
njombe,2014,10.4
pwani,2014,11.6
rukwa,2014,4.7
ruvuma,2014,0.5
shinyanga,2014,8.4
simiyu,2014,6.6
singida,2014,9
tabora,2014,4.6
tanga,2014,10.3
