area,year,pupils_to_classroom_ratio_in_lower_secondary_schools
arusha,2016,52
dar_es_salaam,2016,61
dodoma,2016,35
geita,2016,51
iringa,2016,37
kagera,2016,39
katavi,2016,42
kigoma,2016,39
kilimanjaro,2016,37
lindi,2016,33
manyara,2016,38
mara,2016,40
mbeya,2016,39
morogoro,2016,41
mtwara,2016,39
mwanza,2016,59
njombe,2016,41
pwani,2016,40
rukwa,2016,37
ruvuma,2016,39
shinyanga,2016,47
simiyu,2016,40
singida,2016,36
songwe,2016,38
tabora,2016,39
tanga,2016,40
mainland,2016,42
