"Goal"," Target"," Indicator"," SeriesCode"," SeriesDescription"," GeoAreaCode"," GeoAreaName"," TimePeriod"," Value"," Time_Detail"," UpperBound"," LowerBound"," BasePeriod"," Source"," FootNote"," Units"," Nature","Country"," [Age]","[Cities]","[Disability status]","[Education level]","[Freq]","[Hazard type]","[IHR Capacity]","[Level/Status]","[Location]","[Migratory status]","[Mode of transportation]","[Name of international agreement]","[Name of international institution]","[Name of non-communicable disease]","[Policy Domains]","[Quantile]","[Reporting Type]","[Sex]","[Tariff regime (status)]","[Type of facilities]","[Type of mobile technology]","[Type of occupation]","[Type of product]","[Type of skill]","[Type of speed]"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","752","Sweden","2003","0.2","2003",,,,"World Development Indicators database, World Bank","Estimated from unit-record income data.","PERCENT","G","",,,,,,,,,,,,,,,,,"G",,,,,,,,
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","752","Sweden","2004","0.5","2004",,,,"World Development Indicators database, World Bank","Estimated from unit-record income data.","PERCENT","G","",,,,,,,,,,,,,,,,,"G",,,,,,,,
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","752","Sweden","2005","0.9","2005",,,,"World Development Indicators database, World Bank","Estimated from unit-record income data.","PERCENT","G","",,,,,,,,,,,,,,,,,"G",,,,,,,,
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","752","Sweden","2006","0.2","2006",,,,"World Development Indicators database, World Bank","Estimated from unit-record income data.","PERCENT","G","",,,,,,,,,,,,,,,,,"G",,,,,,,,
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","752","Sweden","2007","0.5","2007",,,,"World Development Indicators database, World Bank","Estimated from unit-record income data.","PERCENT","G","",,,,,,,,,,,,,,,,,"G",,,,,,,,
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","752","Sweden","2008","0.5","2008",,,,"World Development Indicators database, World Bank","Estimated from unit-record income data.","PERCENT","G","",,,,,,,,,,,,,,,,,"G",,,,,,,,
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","752","Sweden","2009","0.5","2009",,,,"World Development Indicators database, World Bank","Estimated from unit-record income data.","PERCENT","G","",,,,,,,,,,,,,,,,,"G",,,,,,,,
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","752","Sweden","2010","0.5","2010",,,,"World Development Indicators database, World Bank","Estimated from unit-record income data.","PERCENT","G","",,,,,,,,,,,,,,,,,"G",,,,,,,,
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","752","Sweden","2011","0.5","2011",,,,"World Development Indicators database, World Bank","Estimated from unit-record income data.","PERCENT","G","",,,,,,,,,,,,,,,,,"G",,,,,,,,
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","752","Sweden","2012","0.5","2012",,,,"World Development Indicators database, World Bank","Estimated from unit-record income data.","PERCENT","G","",,,,,,,,,,,,,,,,,"G",,,,,,,,
